arm_box_kind	dataset	key	status	reason	center_x	center_y	center_z	size_x	size_y	size_z	method	pocket_rank	pocket_score	pocket_alpha_spheres	distance_to_crystal_centroid	ligand_fits_in_box	recorded
ligand_centred	posebusters	5SD5_HWI	ok		6.051	2.116	14.158	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:37+08:00
detected	posebusters	5SD5_HWI	ok		15.561	-2.809	13.331	25.0	25.0	25.0	fpocket_rank1	1	0.746	267	10.741	0	2026-09-22T15:19:37+08:00
ligand_centred	posebusters	5SAK_ZRY	ok		25.471	5.162	58.03	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:37+08:00
detected	posebusters	5SAK_ZRY	ok		23.112	4.138	56.26	25.0	25.0	25.0	fpocket_rank1	1	0.178	93	3.122	1	2026-09-22T15:19:37+08:00
ligand_centred	posebusters	5SB2_1K2	ok		-22.44	0.413	-2.536	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:37+08:00
detected	posebusters	5SB2_1K2	ok		-20.734	0.85	0.395	25.0	25.0	25.0	fpocket_rank1	1	0.72	175	3.419	1	2026-09-22T15:19:37+08:00
ligand_centred	posebusters	5SIS_JSM	ok		32.257	108.568	58.361	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:37+08:00
detected	posebusters	5SIS_JSM	ok		33.655	105.873	62.69	25.0	25.0	25.0	fpocket_rank1	1	0.152	114	5.288	1	2026-09-22T15:19:37+08:00
ligand_centred	posebusters	6M73_FNR	ok		26.928	10.49	37.842	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:37+08:00
detected	posebusters	6M73_FNR	ok		25.78	10.868	37.383	25.0	25.0	25.0	fpocket_rank1	1	0.458	125	1.293	1	2026-09-22T15:19:37+08:00
ligand_centred	posebusters	6M2B_EZO	ok		27.402	-22.631	22.529	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:37+08:00
detected	posebusters	6M2B_EZO	ok		31.987	-20.751	19.54	25.0	25.0	25.0	fpocket_rank1	1	0.963	274	5.787	1	2026-09-22T15:19:37+08:00
ligand_centred	posebusters	6T88_MWQ	ok		-11.543	-53.215	-6.852	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:39+08:00
detected	posebusters	6T88_MWQ	ok		0.161	-30.86	-12.163	25.0	25.0	25.0	fpocket_rank1	1	0.048	22	25.786	0	2026-09-22T15:19:39+08:00
ligand_centred	posebusters	6VTA_AKN	ok		92.745	8.791	30.717	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:40+08:00
detected	posebusters	6VTA_AKN	ok		99.974	12.932	42.699	25.0	25.0	25.0	fpocket_rank1	1	0.771	115	14.593	0	2026-09-22T15:19:40+08:00
ligand_centred	posebusters	6WTN_RXT	ok		20.837	13.28	9.233	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:40+08:00
detected	posebusters	6WTN_RXT	ok		33.94	16.991	1.654	25.0	25.0	25.0	fpocket_rank1	1	0.065	30	15.586	0	2026-09-22T15:19:40+08:00
ligand_centred	posebusters	6TW7_NZB	ok		3.995	49.111	60.156	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:40+08:00
detected	posebusters	6TW7_NZB	ok		5.118	37.427	52.062	25.0	25.0	25.0	fpocket_rank1	1	1.164	156	14.258	0	2026-09-22T15:19:40+08:00
ligand_centred	posebusters	6XBO_5MC	ok		17.328	-11.676	8.999	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:40+08:00
detected	posebusters	6XBO_5MC	ok		16.385	-16.019	10.818	25.0	25.0	25.0	fpocket_rank1	1	0.35	232	4.801	1	2026-09-22T15:19:40+08:00
ligand_centred	posebusters	6XG5_TOP	ok		-8.046	28.262	17.29	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:42+08:00
detected	posebusters	6XG5_TOP	ok		-22.775	24.325	5.632	25.0	25.0	25.0	fpocket_rank1	1	0.179	17	19.193	0	2026-09-22T15:19:42+08:00
ligand_centred	posebusters	6XCT_478	ok		12.718	15.878	-10.671	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:42+08:00
detected	posebusters	6XCT_478	ok		10.744	6.507	13.239	25.0	25.0	25.0	fpocket_rank1	1	0.04	15	25.756	0	2026-09-22T15:19:42+08:00
ligand_centred	posebusters	6YMS_OZH	ok		35.979	39.482	-4.885	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:43+08:00
