dataset	complex_id	stage	reason	recorded
crossdock	6M73_FNR	03_build_crossdock_set	no partner survived filtering (same_ligand_only=1)	2026-09-22
crossdock	6XBO_5MC	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	6XHT_V2V	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2, same_ligand_only=1)	2026-09-22
crossdock	6Z2C_Q5E	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=39)	2026-09-22
crossdock	6ZK5_IMH	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7C0U_FGO	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=16)	2026-09-22
crossdock	7C8Q_DSG	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=19)	2026-09-22
crossdock	7CNQ_G8X	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2)	2026-09-22
crossdock	7CNS_PMV	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7CUO_PHB	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7D6O_MTE	03_build_crossdock_set	query entry not returned by the RCSB Data API; probably obsoleted since the benchmark was built	2026-09-22
crossdock	7FB7_8NF	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=29)	2026-09-22
crossdock	7JMV_4NC	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7KB1_WBJ	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7KQU_YOF	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7KZ9_XN7	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7L00_XCJ	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7LJN_GTP	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7LMO_NYO	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7LOE_Y84	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=144, no_ligand_of_interest=56)	2026-09-22
crossdock	7M3H_YPV	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7MY1_IPE	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=1)	2026-09-22
crossdock	7N4W_P4V	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=7)	2026-09-22
crossdock	7N7H_CTP	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7NFB_GEN	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=283)	2026-09-22
crossdock	7NUT_GLP	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7ODY_DGI	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7OLI_8HG	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=6)	2026-09-22
crossdock	7OSO_0V1	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2)	2026-09-22
crossdock	7OZ9_NGK	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7OZC_G6S	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7PGX_FMN	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=5, no_ligand_of_interest=1, same_ligand_only=7)	2026-09-22
crossdock	7PK0_BYC	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2)	2026-09-22
crossdock	7QE4_NGA	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=1)	2026-09-22
crossdock	7QF4_RBF	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7RC3_SAH	03_build_crossdock_set	no partner survived filtering (same_ligand_only=4)	2026-09-22
crossdock	7RWS_4UR	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7T3E_SLB	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7TB0_UD1	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7TE8_P0T	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7TUO_KL9	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=3)	2026-09-22
crossdock	7TXK_LW8	03_build_crossdock_set	no partner survived filtering (same_ligand_only=5)	2026-09-22
crossdock	7UXS_OJC	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7UY4_SMI	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7V3N_AKG	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7W05_GMP	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=1)	2026-09-22
crossdock	7W06_ITN	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7WCF_ACP	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=4)	2026-09-22
crossdock	7WKL_CAQ	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=5)	2026-09-22
crossdock	7WUX_6OI	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7ZCC_OGA	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	8A1H_DLZ	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	8FO5_Y4U	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	8G6P_API	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	8SLG_G5A	03_build_crossdock_set	no partner survived filtering (same_ligand_only=1)	2026-09-22
