dataset	complex_id	pdb_id	ccd_id	protein_pdb	ligand_sdf	ligands_sdf	start_conf_sdf
astex	1G9V_RQ3	1G9V	RQ3	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1G9V_RQ3/1G9V_RQ3_ligand_start_conf.sdf
astex	1GKC_NFH	1GKC	NFH	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GKC_NFH/1GKC_NFH_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GKC_NFH/1GKC_NFH_ligand_start_conf.sdf
astex	1GM8_SOX	1GM8	SOX	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GM8_SOX/1GM8_SOX_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GM8_SOX/1GM8_SOX_ligand_start_conf.sdf
astex	1GPK_HUP	1GPK	HUP	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GPK_HUP/1GPK_HUP_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1GPK_HUP/1GPK_HUP_ligand_start_conf.sdf
astex	1HNN_SKF	1HNN	SKF	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HNN_SKF/1HNN_SKF_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HNN_SKF/1HNN_SKF_ligand_start_conf.sdf
astex	1HP0_AD3	1HP0	AD3	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HP0_AD3/1HP0_AD3_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HP0_AD3/1HP0_AD3_ligand_start_conf.sdf
astex	1HQ2_PH2	1HQ2	PH2	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HQ2_PH2/1HQ2_PH2_ligand_start_conf.sdf
astex	1HVY_D16	1HVY	D16	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HVY_D16/1HVY_D16_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HVY_D16/1HVY_D16_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HVY_D16/1HVY_D16_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HVY_D16/1HVY_D16_ligand_start_conf.sdf
astex	1HWI_115	1HWI	115	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWI_115/1HWI_115_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWI_115/1HWI_115_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWI_115/1HWI_115_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWI_115/1HWI_115_ligand_start_conf.sdf
astex	1HWW_SWA	1HWW	SWA	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWW_SWA/1HWW_SWA_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1HWW_SWA/1HWW_SWA_ligand_start_conf.sdf
astex	1IA1_TQ3	1IA1	TQ3	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IA1_TQ3/1IA1_TQ3_ligand_start_conf.sdf
astex	1IG3_VIB	1IG3	VIB	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IG3_VIB/1IG3_VIB_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IG3_VIB/1IG3_VIB_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IG3_VIB/1IG3_VIB_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1IG3_VIB/1IG3_VIB_ligand_start_conf.sdf
astex	1J3J_CP6	1J3J	CP6	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1J3J_CP6/1J3J_CP6_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1J3J_CP6/1J3J_CP6_ligand_start_conf.sdf
astex	1JD0_AZM	1JD0	AZM	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JD0_AZM/1JD0_AZM_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JD0_AZM/1JD0_AZM_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JD0_AZM/1JD0_AZM_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JD0_AZM/1JD0_AZM_ligand_start_conf.sdf
astex	1JJE_BYS	1JJE	BYS	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JJE_BYS/1JJE_BYS_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JJE_BYS/1JJE_BYS_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JJE_BYS/1JJE_BYS_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JJE_BYS/1JJE_BYS_ligand_start_conf.sdf
astex	1JLA_TNK	1JLA	TNK	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JLA_TNK/1JLA_TNK_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JLA_TNK/1JLA_TNK_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JLA_TNK/1JLA_TNK_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1JLA_TNK/1JLA_TNK_ligand_start_conf.sdf
astex	1K3U_IAD	1K3U	IAD	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1K3U_IAD/1K3U_IAD_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1K3U_IAD/1K3U_IAD_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1K3U_IAD/1K3U_IAD_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1K3U_IAD/1K3U_IAD_ligand_start_conf.sdf
astex	1KE5_LS1	1KE5	LS1	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KE5_LS1/1KE5_LS1_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KE5_LS1/1KE5_LS1_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KE5_LS1/1KE5_LS1_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KE5_LS1/1KE5_LS1_ligand_start_conf.sdf
astex	1KZK_JE2	1KZK	JE2	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KZK_JE2/1KZK_JE2_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KZK_JE2/1KZK_JE2_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KZK_JE2/1KZK_JE2_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1KZK_JE2/1KZK_JE2_ligand_start_conf.sdf
astex	1L2S_STC	1L2S	STC	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L2S_STC/1L2S_STC_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L2S_STC/1L2S_STC_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L2S_STC/1L2S_STC_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L2S_STC/1L2S_STC_ligand_start_conf.sdf
astex	1L7F_BCZ	1L7F	BCZ	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L7F_BCZ/1L7F_BCZ_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L7F_BCZ/1L7F_BCZ_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L7F_BCZ/1L7F_BCZ_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1L7F_BCZ/1L7F_BCZ_ligand_start_conf.sdf
astex	1LPZ_CMB	1LPZ	CMB	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LPZ_CMB/1LPZ_CMB_ligand_start_conf.sdf
astex	1LRH_NLA	1LRH	NLA	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LRH_NLA/1LRH_NLA_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LRH_NLA/1LRH_NLA_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LRH_NLA/1LRH_NLA_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1LRH_NLA/1LRH_NLA_ligand_start_conf.sdf
astex	1M2Z_DEX	1M2Z	DEX	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1M2Z_DEX/1M2Z_DEX_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1M2Z_DEX/1M2Z_DEX_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1M2Z_DEX/1M2Z_DEX_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1M2Z_DEX/1M2Z_DEX_ligand_start_conf.sdf
astex	1MEH_MOA	1MEH	MOA	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MEH_MOA/1MEH_MOA_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MEH_MOA/1MEH_MOA_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MEH_MOA/1MEH_MOA_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MEH_MOA/1MEH_MOA_ligand_start_conf.sdf
astex	1MMV_3AR	1MMV	3AR	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MMV_3AR/1MMV_3AR_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MMV_3AR/1MMV_3AR_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MMV_3AR/1MMV_3AR_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MMV_3AR/1MMV_3AR_ligand_start_conf.sdf
astex	1MZC_BNE	1MZC	BNE	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MZC_BNE/1MZC_BNE_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MZC_BNE/1MZC_BNE_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MZC_BNE/1MZC_BNE_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1MZC_BNE/1MZC_BNE_ligand_start_conf.sdf
astex	1N1M_A3M	1N1M	A3M	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N1M_A3M/1N1M_A3M_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N1M_A3M/1N1M_A3M_ligand_start_conf.sdf
astex	1N2J_PAF	1N2J	PAF	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2J_PAF/1N2J_PAF_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2J_PAF/1N2J_PAF_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2J_PAF/1N2J_PAF_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2J_PAF/1N2J_PAF_ligand_start_conf.sdf
