package	version	licence	environment	checked
biopython	1.88	LicenseRef-Biopython	vgb_bench	2026-09-24
matplotlib-base	3.11.2	PSF-2.0	vgb_bench	2026-09-24
meeko	0.8.0	LGPL-2.1-only	vgb_bench	2026-09-24
numpy	2.5.3	BSD-3-Clause	vgb_bench	2026-09-24
openbabel	3.2.1	GPL-2.0-only	vgb_bench	2026-09-24
pandas	3.0.6	BSD-3-Clause	vgb_bench	2026-09-24
pdb2pqr	3.6.1	BSD-3-Clause	vgb_bench	2026-09-24
posebusters	0.6.5	BSD-3-Clause	vgb_bench	2026-09-24
python	3.12.14	Python-2.0	vgb_bench	2026-09-24
quarto	1.9.38	MIT	vgb_bench	2026-09-24
rdkit	2026.03.6	BSD-3-Clause	vgb_bench	2026-09-24
scipy	1.18.1	BSD-3-Clause	vgb_bench	2026-09-24
seaborn	0.13.2	BSD-3-Clause	vgb_bench	2026-09-24
spyrmsd	0.9.0	MIT	vgb_bench	2026-09-24
numpy	2.5.3	BSD-3-Clause	vgb_vina	2026-09-24
python	3.14.7	Python-2.0	vgb_vina	2026-09-24
vina	1.2.7	Apache-2.0	vgb_vina	2026-09-24
fpocket	4.2.2	MIT	vgb_smina	2026-09-24
openbabel	3.1.1	GPL-2.0-only	vgb_smina	2026-09-24
python	3.12.14	Python-2.0	vgb_smina	2026-09-24
smina	2020.12.10	Apache-2.0	vgb_smina	2026-09-24
