arm	method	dataset	check	n_top1_assessed	n_failed	pct_failed	recorded
A0_null	vina	astex	pb_minimum_distance_to_protein	85	84	98.82	2026-09-24
A0_null	vina	astex	pb_volume_overlap_with_protein	85	80	94.12	2026-09-24
A0_null	vina	astex	pb_minimum_distance_to_organic_cofactors	85	10	11.76	2026-09-24
A0_null	vina	astex	pb_volume_overlap_with_organic_cofactors	85	4	4.71	2026-09-24
A0_null	vina	astex	pb_minimum_distance_to_inorganic_cofactors	85	2	2.35	2026-09-24
A0_null	vina	posebusters	pb_minimum_distance_to_protein	308	301	97.73	2026-09-24
A0_null	vina	posebusters	pb_volume_overlap_with_protein	308	287	93.18	2026-09-24
A0_null	vina	posebusters	pb_minimum_distance_to_organic_cofactors	308	32	10.39	2026-09-24
A0_null	vina	posebusters	pb_volume_overlap_with_organic_cofactors	308	17	5.52	2026-09-24
A0_null	vina	posebusters	pb_minimum_distance_to_inorganic_cofactors	308	10	3.25	2026-09-24
A0_null	vina	posebusters	pb_non_aromatic_ring_non_flatness	308	1	0.32	2026-09-24
A0_null	vina	posebusters	pb_volume_overlap_with_inorganic_cofactors	308	1	0.32	2026-09-24
A1_refconf_refbox	gnina	astex	pb_minimum_distance_to_organic_cofactors	83	2	2.41	2026-09-24
A1_refconf_refbox	gnina	astex	pb_internal_steric_clash	83	1	1.2	2026-09-24
A1_refconf_refbox	gnina	astex	pb_minimum_distance_to_inorganic_cofactors	83	1	1.2	2026-09-24
A1_refconf_refbox	gnina	astex	pb_minimum_distance_to_protein	83	1	1.2	2026-09-24
A1_refconf_refbox	gnina	astex	pb_volume_overlap_with_organic_cofactors	83	1	1.2	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_minimum_distance_to_organic_cofactors	298	15	5.03	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_minimum_distance_to_protein	298	10	3.36	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_volume_overlap_with_protein	298	6	2.01	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_minimum_distance_to_inorganic_cofactors	298	5	1.68	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_volume_overlap_with_organic_cofactors	298	4	1.34	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_internal_steric_clash	298	1	0.34	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_protein_ligand_maximum_distance	298	1	0.34	2026-09-24
A1_refconf_refbox	gnina	posebusters	pb_volume_overlap_with_inorganic_cofactors	298	1	0.34	2026-09-24
A1_refconf_refbox	vina	posebusters	pb_minimum_distance_to_inorganic_cofactors	299	13	4.35	2026-09-24
A1_refconf_refbox	vina	posebusters	pb_minimum_distance_to_organic_cofactors	299	12	4.01	2026-09-24
A1_refconf_refbox	vina	posebusters	pb_volume_overlap_with_organic_cofactors	299	6	2.01	2026-09-24
A1_refconf_refbox	vina	posebusters	pb_internal_steric_clash	299	2	0.67	2026-09-24
A1_refconf_refbox	vina	posebusters	pb_volume_overlap_with_inorganic_cofactors	299	2	0.67	2026-09-24
A1_refconf_refbox	vina	posebusters	pb_minimum_distance_to_protein	299	1	0.33	2026-09-24
A1_refconf_refbox	vinardo	astex	pb_minimum_distance_to_inorganic_cofactors	83	3	3.61	2026-09-24
A1_refconf_refbox	vinardo	astex	pb_minimum_distance_to_organic_cofactors	83	1	1.2	2026-09-24
A1_refconf_refbox	vinardo	astex	pb_volume_overlap_with_inorganic_cofactors	83	1	1.2	2026-09-24
A1_refconf_refbox	vinardo	posebusters	pb_minimum_distance_to_organic_cofactors	294	14	4.76	2026-09-24
A1_refconf_refbox	vinardo	posebusters	pb_minimum_distance_to_inorganic_cofactors	294	13	4.42	2026-09-24
A1_refconf_refbox	vinardo	posebusters	pb_volume_overlap_with_organic_cofactors	294	6	2.04	2026-09-24
A1_refconf_refbox	vinardo	posebusters	pb_internal_steric_clash	294	2	0.68	2026-09-24
A1_refconf_refbox	vinardo	posebusters	pb_minimum_distance_to_protein	294	2	0.68	2026-09-24
A1_refconf_refbox	vinardo	posebusters	pb_volume_overlap_with_inorganic_cofactors	294	2	0.68	2026-09-24
A2_genconf_refbox	gnina	astex	pb_minimum_distance_to_inorganic_cofactors	83	1	1.2	2026-09-24
A2_genconf_refbox	gnina	astex	pb_minimum_distance_to_organic_cofactors	83	1	1.2	2026-09-24
A2_genconf_refbox	gnina	astex	pb_minimum_distance_to_protein	83	1	1.2	2026-09-24
A2_genconf_refbox	gnina	astex	pb_volume_overlap_with_protein	83	1	1.2	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_minimum_distance_to_organic_cofactors	298	15	5.03	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_minimum_distance_to_protein	298	13	4.36	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_minimum_distance_to_inorganic_cofactors	298	10	3.36	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_volume_overlap_with_organic_cofactors	298	9	3.02	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_volume_overlap_with_protein	298	6	2.01	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_non_aromatic_ring_non_flatness	298	1	0.34	2026-09-24
A2_genconf_refbox	gnina	posebusters	pb_volume_overlap_with_inorganic_cofactors	298	1	0.34	2026-09-24
A2_genconf_refbox	vina	astex	pb_minimum_distance_to_inorganic_cofactors	78	2	2.56	2026-09-24
A2_genconf_refbox	vina	astex	pb_volume_overlap_with_inorganic_cofactors	78	2	2.56	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_minimum_distance_to_organic_cofactors	299	24	8.03	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_minimum_distance_to_inorganic_cofactors	299	13	4.35	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_volume_overlap_with_organic_cofactors	299	9	3.01	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_internal_steric_clash	299	1	0.33	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_minimum_distance_to_protein	299	1	0.33	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_non_aromatic_ring_non_flatness	299	1	0.33	2026-09-24
A2_genconf_refbox	vina	posebusters	pb_volume_overlap_with_inorganic_cofactors	299	1	0.33	2026-09-24
A2_genconf_refbox	vinardo	astex	pb_minimum_distance_to_inorganic_cofactors	83	3	3.61	2026-09-24
A2_genconf_refbox	vinardo	astex	pb_minimum_distance_to_organic_cofactors	83	2	2.41	2026-09-24
A2_genconf_refbox	vinardo	astex	pb_volume_overlap_with_inorganic_cofactors	83	2	2.41	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_minimum_distance_to_organic_cofactors	294	19	6.46	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_minimum_distance_to_inorganic_cofactors	294	10	3.4	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_volume_overlap_with_organic_cofactors	294	9	3.06	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_minimum_distance_to_protein	294	3	1.02	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_internal_steric_clash	294	1	0.34	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_non_aromatic_ring_non_flatness	294	1	0.34	2026-09-24
A2_genconf_refbox	vinardo	posebusters	pb_volume_overlap_with_inorganic_cofactors	294	1	0.34	2026-09-24
A4_crossdock	gnina	crossdock	pb_minimum_distance_to_protein	199	7	3.52	2026-09-24
A4_crossdock	gnina	crossdock	pb_volume_overlap_with_protein	199	3	1.51	2026-09-24
A4_crossdock	gnina	crossdock	pb_internal_energy	199	1	0.5	2026-09-24
A4_crossdock	gnina	crossdock	pb_internal_steric_clash	199	1	0.5	2026-09-24
A4_crossdock	gnina	crossdock	pb_non_aromatic_ring_non_flatness	199	1	0.5	2026-09-24
A4_crossdock	vina	crossdock	pb_internal_steric_clash	197	2	1.02	2026-09-24
A4_crossdock	vina	crossdock	pb_minimum_distance_to_protein	197	1	0.51	2026-09-24
A4_crossdock	vina	crossdock	pb_non_aromatic_ring_non_flatness	197	1	0.51	2026-09-24
A4_crossdock	vinardo	crossdock	pb_minimum_distance_to_protein	197	3	1.52	2026-09-24
A4_crossdock	vinardo	crossdock	pb_internal_steric_clash	197	2	1.02	2026-09-24
A4_crossdock	vinardo	crossdock	pb_non_aromatic_ring_non_flatness	197	1	0.51	2026-09-24
