dataset	complex_id	conformer	status	reason	smiles	heavy_atoms	rotatable_bonds	seed	embed_attempts	conformer_rmsd_to_crystal	pdbqt_bytes	elapsed_s	recorded
posebusters	5SD5_HWI	refconf	ok		CCc1nc(N)nc(N)c1OCCCOc1cc(C)ccc1N1CC(C(=O)O)C1	29	9				3453	2.61	2026-09-22T15:00:36+08:00
posebusters	5SB2_1K2	refconf	ok		O=C(N[C@@H]1C[C@H]1c1ccccc1)c1cc(Cl)cc(COc2cnc3[nH]ccc3c2)c1	30	6				3099	2.61	2026-09-22T15:00:36+08:00
posebusters	5SIS_JSM	refconf	ok		CNCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2c1	32	7				3330	0.01	2026-09-22T15:00:38+08:00
posebusters	6M2B_EZO	refconf	ok		CN(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)cs1	25	5				2567	0.01	2026-09-22T15:00:38+08:00
posebusters	5SAK_ZRY	genconf	ok		N=C1N/C(=N\Nc2ccccc2)c2ccccc21	18	2	20260922	1	1.007	1971	2.76	2026-09-22T15:00:36+08:00
posebusters	6M2B_EZO	genconf	ok		CN(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)cs1	25	5	20260922	1	1.694	2567	0.15	2026-09-22T15:00:38+08:00
posebusters	5SAK_ZRY	refconf	ok		N=C1N/C(=N\Nc2ccccc2)c2ccccc21	18	2				1971	2.73	2026-09-22T15:00:36+08:00
posebusters	6M73_FNR	refconf	ok		Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2	31	7				3917	0.01	2026-09-22T15:00:38+08:00
posebusters	6T88_MWQ	refconf	ok		O=C(O)CCc1cnc[nH]1	10	3				1235	0.01	2026-09-22T15:00:38+08:00
posebusters	6TW5_9M2	refconf	ok		Cc1nn(C)c(C)c1CCOc1cc(F)ccc1-c1ccc2n[nH]c(CN(C)C)c2c1	31	7				3126	0.01	2026-09-22T15:00:38+08:00
posebusters	6T88_MWQ	genconf	ok		O=C(O)CCc1cnc[nH]1	10	3	20260922	1	1.144	1235	0.02	2026-09-22T15:00:38+08:00
posebusters	6TW7_NZB	refconf	ok		CN(C)Cc1[nH]nc2ccc(-c3ccc(F)cc3OCCc3cccnc3)cc12	29	7				2947	0.01	2026-09-22T15:00:38+08:00
posebusters	5SIS_JSM	genconf	ok		CNCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2c1	32	7	20260922	1	1.971	3330	0.25	2026-09-22T15:00:38+08:00
posebusters	6VTA_AKN	refconf	ok		NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O	40	10				5886	0.02	2026-09-22T15:00:39+08:00
posebusters	6TW7_NZB	genconf	ok		CN(C)Cc1[nH]nc2ccc(-c3ccc(F)cc3OCCc3cccnc3)cc12	29	7	20260922	1	1.467	2947	0.14	2026-09-22T15:00:39+08:00
posebusters	5SD5_HWI	genconf	ok		CCc1nc(N)nc(N)c1OCCCOc1cc(C)ccc1N1CC(C(=O)O)C1	29	9	20260922	1	2.296	3453	2.93	2026-09-22T15:00:36+08:00
posebusters	6WTN_RXT	refconf	ok		N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	23	4				2312	0.03	2026-09-22T15:00:39+08:00
posebusters	6M73_FNR	genconf	ok		Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c1[nH]c(=O)[nH]c(=O)c1N2	31	7	20260922	1	2.197	3917	0.21	2026-09-22T15:00:38+08:00
posebusters	5SB2_1K2	genconf	ok		O=C(N[C@@H]1C[C@H]1c1ccccc1)c1cc(Cl)cc(COc2cnc3[nH]ccc3c2)c1	30	6	20260922	1	2.132	3099	2.97	2026-09-22T15:00:36+08:00
posebusters	6XBO_5MC	refconf	ok		Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)nc1N	22	4				2835	0.01	2026-09-22T15:00:39+08:00
posebusters	6XCT_478	refconf	ok		CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	35	11				3997	0.02	2026-09-22T15:00:39+08:00
posebusters	6XG5_TOP	refconf	ok		COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	21	5				2484	0.01	2026-09-22T15:00:39+08:00
posebusters	6TW5_9M2	genconf	ok		Cc1nn(C)c(C)c1CCOc1cc(F)ccc1-c1ccc2n[nH]c(CN(C)C)c2c1	31	7	20260922	1	1.553	3126	0.22	2026-09-22T15:00:38+08:00
posebusters	6XHT_V2V	refconf	ok		Nc1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CO)[C@@H](O)[C@H]2O)c(=O)n1	34	12				4687	0.01	2026-09-22T15:00:39+08:00
posebusters	6WTN_RXT	genconf	ok		N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1	23	4	20260922	1	1.641	2312	0.1	2026-09-22T15:00:39+08:00
posebusters	6XM9_V55	refconf	ok		COc1cc(C=O)ccc1O	11	2				1201	0.01	2026-09-22T15:00:39+08:00
