arm	method	dataset	quantity	n	min	q25	median	q75	q90	max	mean	recorded
A0_null	vina	astex	top1_rmsd	85.0	0.712	4.001	5.372	6.501	7.712	12.205	5.343	2026-09-24
A0_null	vina	astex	top5_best_rmsd	85.0	0.712	4.001	5.372	6.501	7.712	12.205	5.343	2026-09-24
A0_null	vina	astex	top1_kabsch_rmsd	85.0	0.126	0.91	1.408	1.681	2.402	2.926	1.349	2026-09-24
A0_null	vina	posebusters	top1_rmsd	308.0	1.555	3.562	4.958	6.668	8.279	13.928	5.295	2026-09-24
A0_null	vina	posebusters	top5_best_rmsd	308.0	1.555	3.562	4.958	6.668	8.279	13.928	5.295	2026-09-24
A0_null	vina	posebusters	top1_kabsch_rmsd	308.0	0.018	0.882	1.469	2.202	2.822	5.05	1.556	2026-09-24
A1_refconf_refbox	gnina	astex	top1_rmsd	83.0	0.244	0.431	0.718	1.794	4.03	12.127	1.669	2026-09-24
A1_refconf_refbox	gnina	astex	top5_best_rmsd	83.0	0.237	0.405	0.685	1.034	1.652	6.501	0.904	2026-09-24
A1_refconf_refbox	gnina	astex	top1_kabsch_rmsd	83.0	0.0	0.197	0.463	1.156	1.718	2.913	0.725	2026-09-24
A1_refconf_refbox	gnina	posebusters	top1_rmsd	298.0	0.155	0.527	0.997	3.076	8.224	15.572	2.59	2026-09-24
A1_refconf_refbox	gnina	posebusters	top5_best_rmsd	298.0	0.155	0.429	0.741	1.182	1.892	10.577	1.182	2026-09-24
A1_refconf_refbox	gnina	posebusters	top1_kabsch_rmsd	298.0	0.0	0.281	0.581	1.075	1.759	4.546	0.809	2026-09-24
A1_refconf_refbox	vina	astex	top1_rmsd	78.0	0.218	0.463	0.733	1.778	4.836	10.131	1.778	2026-09-24
A1_refconf_refbox	vina	astex	top5_best_rmsd	78.0	0.218	0.398	0.608	1.136	2.464	4.984	1.022	2026-09-24
A1_refconf_refbox	vina	astex	top1_kabsch_rmsd	78.0	0.0	0.198	0.516	1.014	1.623	3.478	0.735	2026-09-24
A1_refconf_refbox	vina	posebusters	top1_rmsd	299.0	0.168	0.491	0.932	2.884	7.122	13.873	2.399	2026-09-24
A1_refconf_refbox	vina	posebusters	top5_best_rmsd	299.0	0.168	0.432	0.756	1.34	3.244	13.405	1.415	2026-09-24
A1_refconf_refbox	vina	posebusters	top1_kabsch_rmsd	299.0	0.0	0.249	0.619	1.139	1.993	4.108	0.82	2026-09-24
A1_refconf_refbox	vinardo	astex	top1_rmsd	83.0	0.168	0.435	0.721	2.415	6.705	13.849	2.232	2026-09-24
A1_refconf_refbox	vinardo	astex	top5_best_rmsd	83.0	0.164	0.379	0.608	0.999	1.968	7.114	1.056	2026-09-24
A1_refconf_refbox	vinardo	astex	top1_kabsch_rmsd	83.0	0.0	0.21	0.522	1.132	1.694	2.875	0.702	2026-09-24
A1_refconf_refbox	vinardo	posebusters	top1_rmsd	294.0	0.13	0.477	1.017	3.913	8.387	15.93	2.728	2026-09-24
A1_refconf_refbox	vinardo	posebusters	top5_best_rmsd	294.0	0.123	0.396	0.731	1.39	4.517	12.495	1.598	2026-09-24
A1_refconf_refbox	vinardo	posebusters	top1_kabsch_rmsd	294.0	0.0	0.245	0.57	1.23	2.222	5.422	0.878	2026-09-24
A2_genconf_refbox	gnina	astex	top1_rmsd	83.0	0.308	0.667	1.316	2.432	6.755	13.659	2.429	2026-09-24
A2_genconf_refbox	gnina	astex	top5_best_rmsd	83.0	0.308	0.627	0.897	1.458	2.325	5.517	1.193	2026-09-24
A2_genconf_refbox	gnina	astex	top1_kabsch_rmsd	83.0	0.104	0.476	0.743	1.207	1.804	2.866	0.908	2026-09-24
A2_genconf_refbox	gnina	posebusters	top1_rmsd	298.0	0.173	0.707	1.44	4.097	8.564	14.926	2.99	2026-09-24
A2_genconf_refbox	gnina	posebusters	top5_best_rmsd	298.0	0.173	0.6	0.971	1.635	3.629	10.867	1.568	2026-09-24
