run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A0_null	vina	astex	1G9V_RQ3	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	14.626		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1G9V_RQ3.sdf.gz	1026	2026-09-22T17:30:50+08:00
arm	A0_null	vina	astex	1IA1_TQ3	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	0.024		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1IA1_TQ3.sdf.gz	750	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1IG3_VIB	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	23.83	41.109	19.486	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	0.041		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1IG3_VIB.sdf.gz	815	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1J3J_CP6	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	0.022		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1J3J_CP6.sdf.gz	725	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1JD0_AZM	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	-14.55	-6.507	20.915	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	0.024		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1JD0_AZM.sdf.gz	527	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1JJE_BYS	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	57.657	24.777	34.576	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JJE_BYS/receptor.pdbqt	0.021		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1JJE_BYS.sdf.gz	965	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1JLA_TNK	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	-3.08	-35.284	24.86	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JLA_TNK/receptor.pdbqt	0.023		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1JLA_TNK.sdf.gz	1074	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1K3U_IAD	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	48.894	27.243	13.062	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1K3U_IAD/receptor.pdbqt	0.014		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1K3U_IAD.sdf.gz	823	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1KE5_LS1	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	-9.51	48.704	38.092	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	0.011		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1KE5_LS1.sdf.gz	874	2026-09-22T17:31:04+08:00
arm	A0_null	vina	astex	1KZK_JE2	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	19.859	-1.74	16.894	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KZK_JE2/receptor.pdbqt	0.037		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/astex/1KZK_JE2.sdf.gz	1550	2026-09-22T17:31:04+08:00
