run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A0_null	vina	posebusters	6TW5_9M2	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	4.202	-10.518	89.123	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	28.893		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6TW5_9M2.sdf.gz	1214	2026-09-22T17:30:04+08:00
arm	A0_null	vina	posebusters	5SB2_1K2	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	-22.44	0.413	-2.536	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	28.906		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/5SB2_1K2.sdf.gz	1081	2026-09-22T17:30:04+08:00
arm	A0_null	vina	posebusters	6M73_FNR	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	26.928	10.49	37.842	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	28.902		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6M73_FNR.sdf.gz	1138	2026-09-22T17:30:04+08:00
arm	A0_null	vina	posebusters	5SIS_JSM	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	32.257	108.568	58.361	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	28.926		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/5SIS_JSM.sdf.gz	1197	2026-09-22T17:30:04+08:00
arm	A0_null	vina	posebusters	6WTN_RXT	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	20.837	13.28	9.233	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6WTN_RXT/receptor.pdbqt	0.026		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6WTN_RXT.sdf.gz	914	2026-09-22T17:30:32+08:00
arm	A0_null	vina	posebusters	6XBO_5MC	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	17.328	-11.676	8.999	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XBO_5MC/receptor.pdbqt	0.033		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6XBO_5MC.sdf.gz	885	2026-09-22T17:30:32+08:00
arm	A0_null	vina	posebusters	6XCT_478	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	12.718	15.878	-10.671	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XCT_478/receptor.pdbqt	0.037		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6XCT_478.sdf.gz	1407	2026-09-22T17:30:32+08:00
arm	A0_null	vina	posebusters	6M2B_EZO	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	27.402	-22.631	22.529	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	28.947		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6M2B_EZO.sdf.gz	889	2026-09-22T17:30:04+08:00
arm	A0_null	vina	posebusters	6XG5_TOP	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	-8.046	28.262	17.29	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XG5_TOP/receptor.pdbqt	0.022		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6XG5_TOP.sdf.gz	888	2026-09-22T17:30:32+08:00
arm	A0_null	vina	posebusters	6VTA_AKN	20260922	ok		1		vina	kcal/mol (empirical score, not a measured free energy)	92.745	8.791	30.717	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6VTA_AKN/receptor.pdbqt	28.947		10	/home/qasim/vgb_bench_data/poses/A0_null/vina/posebusters/6VTA_AKN.sdf.gz	1664	2026-09-22T17:30:04+08:00
