run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A1_refconf_refbox	gnina	astex	1GPK_HUP	20260922	ok		5	-10.27	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	2.842	67.452	63.054	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	21.67	451.7	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1GPK_HUP.sdf.gz	2524	2026-09-23T15:28:57+08:00
arm	A1_refconf_refbox	gnina	astex	1HNN_SKF	20260922	ok		5	-9.04	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	28.265	44.149	16.529	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	23.47	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1HNN_SKF.sdf.gz	2002	2026-09-23T15:29:18+08:00
arm	A1_refconf_refbox	gnina	astex	1GM8_SOX	20260922	ok		5	-8.92	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	14.458	-2.042	3.683	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	47.64	454.0	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1GM8_SOX.sdf.gz	3147	2026-09-23T15:28:57+08:00
arm	A1_refconf_refbox	gnina	astex	1G9V_RQ3	20260922	ok		5	-6.36	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	61.39	451.9	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1G9V_RQ3.sdf.gz	3424	2026-09-23T15:28:57+08:00
arm	A1_refconf_refbox	gnina	astex	1GKC_NFH	20260922	ok		5	-6.69	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	65.839	30.707	117.746	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	70.9	450.6	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1GKC_NFH.sdf.gz	3597	2026-09-23T15:28:57+08:00
arm	A1_refconf_refbox	gnina	astex	1HQ2_PH2	20260922	ok		5	-9.53	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-8.504	7.946	17.463	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	30.49	454.0	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1HQ2_PH2.sdf.gz	1763	2026-09-23T15:29:44+08:00
arm	A1_refconf_refbox	gnina	astex	1HP0_AD3	20260922	ok		5	-10.21	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	16.686	25.497	12.944	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	45.66	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1HP0_AD3.sdf.gz	2422	2026-09-23T15:29:42+08:00
arm	A1_refconf_refbox	gnina	astex	1HWW_SWA	20260922	ok		5	-7.36	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	31.377	66.383	7.718	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWW_SWA/receptor.pdbqt	20.33	461.3	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1HWW_SWA.sdf.gz	2086	2026-09-23T15:30:15+08:00
arm	A1_refconf_refbox	gnina	astex	1IA1_TQ3	20260922	ok		5	-9.52	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	30.68	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1IA1_TQ3.sdf.gz	2238	2026-09-23T15:30:27+08:00
arm	A1_refconf_refbox	gnina	astex	1IG3_VIB	20260922	ok		5	-8.02	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	23.83	41.109	19.486	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	35.28	461.3	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1IG3_VIB.sdf.gz	2552	2026-09-23T15:30:35+08:00
arm	A1_refconf_refbox	gnina	astex	1J3J_CP6	20260922	ok		5	-9.35	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	40.87	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1J3J_CP6.sdf.gz	2151	2026-09-23T15:30:58+08:00
arm	A1_refconf_refbox	gnina	astex	1JD0_AZM	20260922	ok		5	-5.77	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-14.55	-6.507	20.915	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	31.83	461.3	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1JD0_AZM.sdf.gz	1474	2026-09-23T15:31:10+08:00
arm	A1_refconf_refbox	gnina	astex	1HWI_115	20260922	ok		5	-9.51	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	33.197	-6.634	-10.597	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWI_115/receptor.pdbqt	123.64	467.1	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1HWI_115.sdf.gz	3777	2026-09-23T15:30:08+08:00
arm	A1_refconf_refbox	gnina	astex	1HVY_D16	20260922	ok		5	-10.02	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	69.179	45.229	25.375	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HVY_D16/receptor.pdbqt	135.5	463.2	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1HVY_D16.sdf.gz	3750	2026-09-23T15:29:58+08:00
arm	A1_refconf_refbox	gnina	astex	1JJE_BYS	20260922	ok		5	-9.35	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	57.657	24.777	34.576	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JJE_BYS/receptor.pdbqt	71.39	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1JJE_BYS.sdf.gz	3001	2026-09-23T15:31:39+08:00
arm	A1_refconf_refbox	gnina	astex	1KE5_LS1	20260922	ok		5	-9.53	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-9.51	48.704	38.092	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	37.85	463.2	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1KE5_LS1.sdf.gz	2738	2026-09-23T15:32:14+08:00
arm	A1_refconf_refbox	gnina	astex	1K3U_IAD	20260922	ok		5	-10.23	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	48.894	27.243	13.062	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1K3U_IAD/receptor.pdbqt	56.28	467.1	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1K3U_IAD.sdf.gz	2513	2026-09-23T15:32:11+08:00
arm	A1_refconf_refbox	gnina	astex	1JLA_TNK	20260922	ok		5	-11.76	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-3.08	-35.284	24.86	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JLA_TNK/receptor.pdbqt	90.69	461.3	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1JLA_TNK.sdf.gz	3515	2026-09-23T15:31:42+08:00
arm	A1_refconf_refbox	gnina	astex	1L2S_STC	20260922	ok		5	-7.86	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	79.802	5.352	29.948	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L2S_STC/receptor.pdbqt	50.99	463.2	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1L2S_STC.sdf.gz	1978	2026-09-23T15:32:51+08:00
arm	A1_refconf_refbox	gnina	astex	1LRH_NLA	20260922	ok		5	-8.14	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	36.701	58.407	77.461	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1LRH_NLA/receptor.pdbqt	19.38	463.2	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1LRH_NLA.sdf.gz	1860	2026-09-23T15:33:42+08:00
arm	A1_refconf_refbox	gnina	astex	1L7F_BCZ	20260922	ok		5	-8.65	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	25.917	17.175	62.803	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L7F_BCZ/receptor.pdbqt	68.91	467.1	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1L7F_BCZ.sdf.gz	3495	2026-09-23T15:33:07+08:00
arm	A1_refconf_refbox	gnina	astex	1M2Z_DEX	20260922	ok		5	-13.28	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	30.453	7.022	13.256	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1M2Z_DEX/receptor.pdbqt	45.63	465.6	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/astex/1M2Z_DEX.sdf.gz	4071	2026-09-23T15:34:02+08:00
