run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A1_refconf_refbox	gnina	posebusters	5SAK_ZRY	20260922	ok		5	-7.52	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	25.471	5.162	58.03	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SAK_ZRY/receptor.pdbqt	59.78	462.9	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/5SAK_ZRY.sdf.gz	2270	2026-09-23T12:35:33+08:00
arm	A1_refconf_refbox	gnina	posebusters	5SB2_1K2	20260922	ok		5	-13.04	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-22.44	0.413	-2.536	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	128.32	463.6	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/5SB2_1K2.sdf.gz	3500	2026-09-23T12:35:33+08:00
arm	A1_refconf_refbox	gnina	posebusters	6M2B_EZO	20260922	ok		5	-10.84	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	27.402	-22.631	22.529	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	105.77	462.9	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/6M2B_EZO.sdf.gz	2760	2026-09-23T12:36:33+08:00
arm	A1_refconf_refbox	gnina	posebusters	5SIS_JSM	20260922	ok		5	-9.21	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	32.257	108.568	58.361	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	177.8	451.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/5SIS_JSM.sdf.gz	4014	2026-09-23T12:35:33+08:00
arm	A1_refconf_refbox	gnina	posebusters	5SD5_HWI	20260922	ok		5	-7.97	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	6.051	2.116	14.158	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SD5_HWI/receptor.pdbqt	185.84	452.4	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/5SD5_HWI.sdf.gz	3882	2026-09-23T12:35:33+08:00
arm	A1_refconf_refbox	gnina	posebusters	6T88_MWQ	20260922	ok		5	-6.06	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-11.543	-53.215	-6.852	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6T88_MWQ/receptor.pdbqt	53.5	462.9	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/6T88_MWQ.sdf.gz	1459	2026-09-23T12:38:19+08:00
arm	A1_refconf_refbox	gnina	posebusters	6M73_FNR	20260922	ok		5	-14.46	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	26.928	10.49	37.842	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	180.39	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/6M73_FNR.sdf.gz	3711	2026-09-23T12:37:42+08:00
arm	A1_refconf_refbox	gnina	posebusters	6TW7_NZB	20260922	ok		5	-10.12	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	3.995	49.111	60.156	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW7_NZB/receptor.pdbqt	123.45	452.4	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/6TW7_NZB.sdf.gz	3649	2026-09-23T12:38:39+08:00
arm	A1_refconf_refbox	gnina	posebusters	6TW5_9M2	20260922	ok		5	-11.64	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	4.202	-10.518	89.123	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	145.38	463.6	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/6TW5_9M2.sdf.gz	4032	2026-09-23T12:38:31+08:00
arm	A1_refconf_refbox	gnina	posebusters	6WTN_RXT	20260922	ok		5	-9.08	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	20.837	13.28	9.233	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6WTN_RXT/receptor.pdbqt	71.88	464.8	4	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/gnina/posebusters/6WTN_RXT.sdf.gz	2875	2026-09-23T12:40:42+08:00
