run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A1_refconf_refbox	vina	astex	1HNN_SKF	20260922	ok		4	-8.788	vina	kcal/mol (empirical score, not a measured free energy)	28.265	44.149	16.529	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	19.67	387.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1HNN_SKF.sdf.gz	1601	2026-09-23T14:56:30+08:00
arm	A1_refconf_refbox	vina	astex	1GPK_HUP	20260922	ok		5	-10.43	vina	kcal/mol (empirical score, not a measured free energy)	2.842	67.452	63.054	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	19.67	410.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1GPK_HUP.sdf.gz	2526	2026-09-23T14:56:30+08:00
arm	A1_refconf_refbox	vina	astex	1HQ2_PH2	20260922	ok		5	-9.03	vina	kcal/mol (empirical score, not a measured free energy)	-8.504	7.946	17.463	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	13.77	410.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1HQ2_PH2.sdf.gz	1746	2026-09-23T14:56:49+08:00
arm	A1_refconf_refbox	vina	astex	1GM8_SOX	20260922	ok		5	-8.042	vina	kcal/mol (empirical score, not a measured free energy)	14.458	-2.042	3.683	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	56.89	472.0	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1GM8_SOX.sdf.gz	3101	2026-09-23T14:56:30+08:00
arm	A1_refconf_refbox	vina	astex	1HP0_AD3	20260922	ok		5	-9.196	vina	kcal/mol (empirical score, not a measured free energy)	16.686	25.497	12.944	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	38.37	440.5	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1HP0_AD3.sdf.gz	2386	2026-09-23T14:56:49+08:00
arm	A1_refconf_refbox	vina	astex	1GKC_NFH	20260922	ok		4	-6.798	vina	kcal/mol (empirical score, not a measured free energy)	65.839	30.707	117.746	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	67.71	441.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1GKC_NFH.sdf.gz	2904	2026-09-23T14:56:30+08:00
arm	A1_refconf_refbox	vina	astex	1HWW_SWA	20260922	ok		5	-6.761	vina	kcal/mol (empirical score, not a measured free energy)	31.377	66.383	7.718	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWW_SWA/receptor.pdbqt	12.34	440.5	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1HWW_SWA.sdf.gz	2037	2026-09-23T14:57:28+08:00
arm	A1_refconf_refbox	vina	astex	1G9V_RQ3	20260922	ok		5	-8.189	vina	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	70.76	453.6	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1G9V_RQ3.sdf.gz	3335	2026-09-23T14:56:30+08:00
arm	A1_refconf_refbox	vina	astex	1J3J_CP6	20260922	ok		5	-8.829	vina	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	22.93	453.6	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1J3J_CP6.sdf.gz	2177	2026-09-23T14:57:40+08:00
arm	A1_refconf_refbox	vina	astex	1IA1_TQ3	20260922	ok		5	-9.002	vina	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	26.17	441.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vina/astex/1IA1_TQ3.sdf.gz	2243	2026-09-23T14:57:37+08:00
