run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A1_refconf_refbox	vinardo	astex	1GPK_HUP	20260922	ok		5	-9.9	vinardo	kcal/mol (empirical score, not a measured free energy)	2.842	67.452	63.054	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	16.29	70.7	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1GPK_HUP.sdf.gz	2515	2026-09-23T15:13:34+08:00
arm	A1_refconf_refbox	vinardo	astex	1HNN_SKF	20260922	ok		4	-8.7	vinardo	kcal/mol (empirical score, not a measured free energy)	28.265	44.149	16.529	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	18.71	70.5	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1HNN_SKF.sdf.gz	1588	2026-09-23T15:13:34+08:00
arm	A1_refconf_refbox	vinardo	astex	1HQ2_PH2	20260922	ok		2	-10.2	vinardo	kcal/mol (empirical score, not a measured free energy)	-8.504	7.946	17.463	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	9.84	181.5	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1HQ2_PH2.sdf.gz	868	2026-09-23T15:13:52+08:00
arm	A1_refconf_refbox	vinardo	astex	1HP0_AD3	20260922	ok		5	-10.0	vinardo	kcal/mol (empirical score, not a measured free energy)	16.686	25.497	12.944	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	23.07	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1HP0_AD3.sdf.gz	2374	2026-09-23T15:13:50+08:00
arm	A1_refconf_refbox	vinardo	astex	1GM8_SOX	20260922	ok		5	-6.6	vinardo	kcal/mol (empirical score, not a measured free energy)	14.458	-2.042	3.683	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	47.95	76.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1GM8_SOX.sdf.gz	3117	2026-09-23T15:13:34+08:00
arm	A1_refconf_refbox	vinardo	astex	1HWW_SWA	20260922	ok		5	-6.4	vinardo	kcal/mol (empirical score, not a measured free energy)	31.377	66.383	7.718	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWW_SWA/receptor.pdbqt	6.29	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1HWW_SWA.sdf.gz	2043	2026-09-23T15:14:22+08:00
arm	A1_refconf_refbox	vinardo	astex	1G9V_RQ3	20260922	ok		5	-8.0	vinardo	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	58.33	71.3	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1G9V_RQ3.sdf.gz	3427	2026-09-23T15:13:34+08:00
arm	A1_refconf_refbox	vinardo	astex	1GKC_NFH	20260922	ok		5	-8.0	vinardo	kcal/mol (empirical score, not a measured free energy)	65.839	30.707	117.746	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	60.03	65.3	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1GKC_NFH.sdf.gz	3494	2026-09-23T15:13:34+08:00
arm	A1_refconf_refbox	vinardo	astex	1IA1_TQ3	20260922	ok		5	-10.5	vinardo	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	17.64	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1IA1_TQ3.sdf.gz	2266	2026-09-23T15:14:28+08:00
arm	A1_refconf_refbox	vinardo	astex	1J3J_CP6	20260922	ok		5	-9.9	vinardo	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	18.4	181.6	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1J3J_CP6.sdf.gz	2184	2026-09-23T15:14:34+08:00
arm	A1_refconf_refbox	vinardo	astex	1JD0_AZM	20260922	ok		5	-5.3	vinardo	kcal/mol (empirical score, not a measured free energy)	-14.55	-6.507	20.915	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	12.96	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1JD0_AZM.sdf.gz	1486	2026-09-23T15:14:46+08:00
arm	A1_refconf_refbox	vinardo	astex	1IG3_VIB	20260922	ok		5	-8.6	vinardo	kcal/mol (empirical score, not a measured free energy)	23.83	41.109	19.486	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	26.62	181.6	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1IG3_VIB.sdf.gz	2604	2026-09-23T15:14:32+08:00
arm	A1_refconf_refbox	vinardo	astex	1K3U_IAD	20260922	ok		4	-11.1	vinardo	kcal/mol (empirical score, not a measured free energy)	48.894	27.243	13.062	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1K3U_IAD/receptor.pdbqt	41.8	181.6	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1K3U_IAD.sdf.gz	2084	2026-09-23T15:14:59+08:00
arm	A1_refconf_refbox	vinardo	astex	1JJE_BYS	20260922	ok		5	-11.4	vinardo	kcal/mol (empirical score, not a measured free energy)	57.657	24.777	34.576	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JJE_BYS/receptor.pdbqt	57.91	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1JJE_BYS.sdf.gz	3017	2026-09-23T15:14:52+08:00
arm	A1_refconf_refbox	vinardo	astex	1HWI_115	20260922	ok		5	-10.1	vinardo	kcal/mol (empirical score, not a measured free energy)	33.197	-6.634	-10.597	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWI_115/receptor.pdbqt	101.08	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1HWI_115.sdf.gz	3764	2026-09-23T15:14:13+08:00
arm	A1_refconf_refbox	vinardo	astex	1HVY_D16	20260922	ok		5	-10.1	vinardo	kcal/mol (empirical score, not a measured free energy)	69.179	45.229	25.375	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HVY_D16/receptor.pdbqt	119.44	181.5	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1HVY_D16.sdf.gz	3802	2026-09-23T15:14:02+08:00
arm	A1_refconf_refbox	vinardo	astex	1KE5_LS1	20260922	ok		5	-9.1	vinardo	kcal/mol (empirical score, not a measured free energy)	-9.51	48.704	38.092	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	42.05	181.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1KE5_LS1.sdf.gz	2740	2026-09-23T15:15:40+08:00
arm	A1_refconf_refbox	vinardo	astex	1L2S_STC	20260922	ok		5	-8.1	vinardo	kcal/mol (empirical score, not a measured free energy)	79.802	5.352	29.948	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L2S_STC/receptor.pdbqt	35.8	182.0	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/astex/1L2S_STC.sdf.gz	2004	2026-09-23T15:15:54+08:00
