run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A1_refconf_refbox	vinardo	posebusters	5SAK_ZRY	20260922	ok		5	-9.4	vinardo	kcal/mol (empirical score, not a measured free energy)	25.471	5.162	58.03	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SAK_ZRY/receptor.pdbqt	15.63	65.2	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/5SAK_ZRY.sdf.gz	2227	2026-09-23T07:23:20+08:00
arm	A1_refconf_refbox	vinardo	posebusters	6M2B_EZO	20260922	ok		5	-9.6	vinardo	kcal/mol (empirical score, not a measured free energy)	27.402	-22.631	22.529	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	47.99	73.4	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/6M2B_EZO.sdf.gz	2823	2026-09-23T07:23:20+08:00
arm	A1_refconf_refbox	vinardo	posebusters	6T88_MWQ	20260922	ok		5	-7.1	vinardo	kcal/mol (empirical score, not a measured free energy)	-11.543	-53.215	-6.852	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6T88_MWQ/receptor.pdbqt	9.78	181.8	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/6T88_MWQ.sdf.gz	1435	2026-09-23T07:24:08+08:00
arm	A1_refconf_refbox	vinardo	posebusters	6M73_FNR	20260922	ok		1	-15.1	vinardo	kcal/mol (empirical score, not a measured free energy)	26.928	10.49	37.842	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	64.51	181.7	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/6M73_FNR.sdf.gz	1068	2026-09-23T07:23:35+08:00
arm	A1_refconf_refbox	vinardo	posebusters	5SIS_JSM	20260922	ok		5	-8.9	vinardo	kcal/mol (empirical score, not a measured free energy)	32.257	108.568	58.361	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	86.63	70.5	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/5SIS_JSM.sdf.gz	3979	2026-09-23T07:23:20+08:00
arm	A1_refconf_refbox	vinardo	posebusters	5SD5_HWI	20260922	ok		5	-10.9	vinardo	kcal/mol (empirical score, not a measured free energy)	6.051	2.116	14.158	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SD5_HWI/receptor.pdbqt	86.8	70.9	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/5SD5_HWI.sdf.gz	3844	2026-09-23T07:23:20+08:00
arm	A1_refconf_refbox	vinardo	posebusters	5SB2_1K2	20260922	ok		1	-14.3	vinardo	kcal/mol (empirical score, not a measured free energy)	-22.44	0.413	-2.536	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	91.33	70.2	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/5SB2_1K2.sdf.gz	1029	2026-09-23T07:23:20+08:00
arm	A1_refconf_refbox	vinardo	posebusters	6WTN_RXT	20260922	ok		5	-9.3	vinardo	kcal/mol (empirical score, not a measured free energy)	20.837	13.28	9.233	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6WTN_RXT/receptor.pdbqt	30.54	181.8	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/6WTN_RXT.sdf.gz	2913	2026-09-23T07:24:47+08:00
arm	A1_refconf_refbox	vinardo	posebusters	6XBO_5MC	20260922	ok		5	-9.5	vinardo	kcal/mol (empirical score, not a measured free energy)	17.328	-11.676	8.999	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XBO_5MC/receptor.pdbqt	29.21	181.7	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/6XBO_5MC.sdf.gz	2754	2026-09-23T07:24:51+08:00
arm	A1_refconf_refbox	vinardo	posebusters	6TW5_9M2	20260922	ok		5	-12.6	vinardo	kcal/mol (empirical score, not a measured free energy)	4.202	-10.518	89.123	25.0	8	refconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	73.94	181.8	5	/home/qasim/vgb_bench_data/poses/A1_refconf_refbox/vinardo/posebusters/6TW5_9M2.sdf.gz	4040	2026-09-23T07:24:17+08:00
