run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A2_genconf_refbox	gnina	astex	1GPK_HUP	20260922	ok		5	-10.0	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	2.842	67.452	63.054	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	18.65	462.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1GPK_HUP.sdf.gz	2531	2026-09-23T05:33:52+08:00
arm	A2_genconf_refbox	gnina	astex	1HNN_SKF	20260922	ok		5	-9.19	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	28.265	44.149	16.529	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	22.84	462.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1HNN_SKF.sdf.gz	1999	2026-09-23T05:34:10+08:00
arm	A2_genconf_refbox	gnina	astex	1GM8_SOX	20260922	ok		5	-5.95	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	14.458	-2.042	3.683	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	50.58	453.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1GM8_SOX.sdf.gz	3155	2026-09-23T05:33:52+08:00
arm	A2_genconf_refbox	gnina	astex	1G9V_RQ3	20260922	ok		5	-7.07	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	56.73	450.8	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1G9V_RQ3.sdf.gz	3411	2026-09-23T05:33:52+08:00
arm	A2_genconf_refbox	gnina	astex	1GKC_NFH	20260922	ok		5	-6.89	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	65.839	30.707	117.746	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	57.71	448.9	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1GKC_NFH.sdf.gz	3572	2026-09-23T05:33:52+08:00
arm	A2_genconf_refbox	gnina	astex	1HQ2_PH2	20260922	ok		5	-9.52	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-8.504	7.946	17.463	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	19.62	453.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1HQ2_PH2.sdf.gz	1801	2026-09-23T05:34:42+08:00
arm	A2_genconf_refbox	gnina	astex	1HP0_AD3	20260922	ok		5	-9.52	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	16.686	25.497	12.944	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	39.17	462.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1HP0_AD3.sdf.gz	2388	2026-09-23T05:34:33+08:00
arm	A2_genconf_refbox	gnina	astex	1HWW_SWA	20260922	ok		5	-6.95	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	31.377	66.383	7.718	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWW_SWA/receptor.pdbqt	20.63	461.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1HWW_SWA.sdf.gz	2096	2026-09-23T05:35:02+08:00
arm	A2_genconf_refbox	gnina	astex	1IA1_TQ3	20260922	ok		5	-9.3	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	26.92	462.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1IA1_TQ3.sdf.gz	2267	2026-09-23T05:35:12+08:00
arm	A2_genconf_refbox	gnina	astex	1IG3_VIB	20260922	ok		5	-7.76	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	23.83	41.109	19.486	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	28.21	461.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1IG3_VIB.sdf.gz	2590	2026-09-23T05:35:22+08:00
arm	A2_genconf_refbox	gnina	astex	1J3J_CP6	20260922	ok		5	-9.18	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	24.91	463.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1J3J_CP6.sdf.gz	2162	2026-09-23T05:35:39+08:00
arm	A2_genconf_refbox	gnina	astex	1JD0_AZM	20260922	ok		5	-5.42	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-14.55	-6.507	20.915	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	22.13	461.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1JD0_AZM.sdf.gz	1506	2026-09-23T05:35:51+08:00
arm	A2_genconf_refbox	gnina	astex	1HWI_115	20260922	ok		5	-7.89	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	33.197	-6.634	-10.597	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWI_115/receptor.pdbqt	95.15	466.8	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1HWI_115.sdf.gz	3781	2026-09-23T05:34:49+08:00
arm	A2_genconf_refbox	gnina	astex	1HVY_D16	20260922	ok		5	-10.1	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	69.179	45.229	25.375	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HVY_D16/receptor.pdbqt	111.03	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1HVY_D16.sdf.gz	3792	2026-09-23T05:34:48+08:00
arm	A2_genconf_refbox	gnina	astex	1JJE_BYS	20260922	ok		5	-8.43	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	57.657	24.777	34.576	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JJE_BYS/receptor.pdbqt	57.42	463.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1JJE_BYS.sdf.gz	3038	2026-09-23T05:36:04+08:00
arm	A2_genconf_refbox	gnina	astex	1KE5_LS1	20260922	ok		5	-9.39	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-9.51	48.704	38.092	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	34.77	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1KE5_LS1.sdf.gz	2733	2026-09-23T05:36:39+08:00
arm	A2_genconf_refbox	gnina	astex	1JLA_TNK	20260922	ok		5	-11.67	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-3.08	-35.284	24.86	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JLA_TNK/receptor.pdbqt	67.14	461.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1JLA_TNK.sdf.gz	3606	2026-09-23T05:36:13+08:00
arm	A2_genconf_refbox	gnina	astex	1K3U_IAD	20260922	ok		5	-10.9	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	48.894	27.243	13.062	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1K3U_IAD/receptor.pdbqt	61.44	466.8	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1K3U_IAD.sdf.gz	2574	2026-09-23T05:36:25+08:00
arm	A2_genconf_refbox	gnina	astex	1L2S_STC	20260922	ok		5	-7.59	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	79.802	5.352	29.948	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L2S_STC/receptor.pdbqt	31.58	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1L2S_STC.sdf.gz	2022	2026-09-23T05:37:14+08:00
arm	A2_genconf_refbox	gnina	astex	1LRH_NLA	20260922	ok		5	-3.91	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	36.701	58.407	77.461	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1LRH_NLA/receptor.pdbqt	16.48	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1LRH_NLA.sdf.gz	1827	2026-09-23T05:37:46+08:00
arm	A2_genconf_refbox	gnina	astex	1L7F_BCZ	20260922	ok		5	-6.89	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	25.917	17.175	62.803	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L7F_BCZ/receptor.pdbqt	52.54	461.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1L7F_BCZ.sdf.gz	3584	2026-09-23T05:37:20+08:00
arm	A2_genconf_refbox	gnina	astex	1M2Z_DEX	20260922	ok		5	-13.24	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	30.453	7.022	13.256	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1M2Z_DEX/receptor.pdbqt	35.46	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1M2Z_DEX.sdf.gz	4017	2026-09-23T05:38:02+08:00
arm	A2_genconf_refbox	gnina	astex	1LPZ_CMB	20260922	ok		5	-10.53	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	7.335	6.815	22.976	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1LPZ_CMB/receptor.pdbqt	81.29	466.8	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1LPZ_CMB.sdf.gz	3782	2026-09-23T05:37:26+08:00
arm	A2_genconf_refbox	gnina	astex	1MZC_BNE	20260922	failed	gnina: ATOM     11  C   UNL     1      -3.766   1.999   0.822  1.00  0.00    +0.003 CG0			gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	17.14	133.836	-2.639	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1MZC_BNE/receptor.pdbqt	1.34		4			2026-09-23T05:38:47+08:00
arm	A2_genconf_refbox	gnina	astex	1MEH_MOA	20260922	ok		5	-7.28	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	56.294	55.996	18.24	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1MEH_MOA/receptor.pdbqt	39.35	473.2	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1MEH_MOA.sdf.gz	2983	2026-09-23T05:38:12+08:00
arm	A2_genconf_refbox	gnina	astex	1N1M_A3M	20260922	ok		5	-4.05	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	81.621	75.002	97.963	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N1M_A3M/receptor.pdbqt	18.35	485.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1N1M_A3M.sdf.gz	2222	2026-09-23T05:38:49+08:00
arm	A2_genconf_refbox	gnina	astex	1N2J_PAF	20260922	ok		5	-4.65	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	32.685	33.843	47.379	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N2J_PAF/receptor.pdbqt	18.41	473.2	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1N2J_PAF.sdf.gz	1574	2026-09-23T05:38:52+08:00
arm	A2_genconf_refbox	gnina	astex	1MMV_3AR	20260922	ok		5	-6.77	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	13.994	-0.076	58.899	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1MMV_3AR/receptor.pdbqt	43.26	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1MMV_3AR.sdf.gz	2603	2026-09-23T05:38:38+08:00
arm	A2_genconf_refbox	gnina	astex	1N2V_BDI	20260922	ok		5	-7.05	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	16.229	17.404	20.877	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N2V_BDI/receptor.pdbqt	25.92	485.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1N2V_BDI.sdf.gz	1902	2026-09-23T05:39:07+08:00
arm	A2_genconf_refbox	gnina	astex	1KZK_JE2	20260922	ok		5	-12.05	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	19.859	-1.74	16.894	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KZK_JE2/receptor.pdbqt	165.84	463.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1KZK_JE2.sdf.gz	5313	2026-09-23T05:37:02+08:00
arm	A2_genconf_refbox	gnina	astex	1OF1_SCT	20260922	ok		5	-8.11	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	20.102	21.919	9.463	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OF1_SCT/receptor.pdbqt	25.81	485.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1OF1_SCT.sdf.gz	2490	2026-09-23T05:39:33+08:00
arm	A2_genconf_refbox	gnina	astex	1NAV_IH5	20260922	ok		5	-10.95	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	48.32	18.236	19.534	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1NAV_IH5/receptor.pdbqt	52.04	475.0	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1NAV_IH5.sdf.gz	2745	2026-09-23T05:39:21+08:00
arm	A2_genconf_refbox	gnina	astex	1OF6_DTY	20260922	ok		5	-8.95	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	31.64	-1.272	49.771	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OF6_DTY/receptor.pdbqt	27.65	508.1	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1OF6_DTY.sdf.gz	1798	2026-09-23T05:39:47+08:00
arm	A2_genconf_refbox	gnina	astex	1N46_PFA	20260922	ok		5	-11.99	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	20.784	6.68	2.904	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N46_PFA/receptor.pdbqt	77.96	473.2	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/astex/1N46_PFA.sdf.gz	3283	2026-09-23T05:39:10+08:00
