run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A2_genconf_refbox	gnina	posebusters	5SAK_ZRY	20260922	ok		5	-9.48	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	25.471	5.162	58.03	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SAK_ZRY/receptor.pdbqt	24.81	441.9	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/5SAK_ZRY.sdf.gz	2250	2026-09-23T03:48:08+08:00
arm	A2_genconf_refbox	gnina	posebusters	5SB2_1K2	20260922	ok		5	-12.45	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-22.44	0.413	-2.536	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	58.27	473.6	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/5SB2_1K2.sdf.gz	3502	2026-09-23T03:48:08+08:00
arm	A2_genconf_refbox	gnina	posebusters	6M2B_EZO	20260922	ok		5	-10.49	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	27.402	-22.631	22.529	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	38.8	463.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/6M2B_EZO.sdf.gz	2744	2026-09-23T03:48:33+08:00
arm	A2_genconf_refbox	gnina	posebusters	6T88_MWQ	20260922	ok		5	-6.04	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-11.543	-53.215	-6.852	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6T88_MWQ/receptor.pdbqt	20.09	463.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/6T88_MWQ.sdf.gz	1453	2026-09-23T03:49:12+08:00
arm	A2_genconf_refbox	gnina	posebusters	5SIS_JSM	20260922	ok		5	-8.13	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	32.257	108.568	58.361	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	85.02	461.9	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/5SIS_JSM.sdf.gz	3997	2026-09-23T03:48:08+08:00
arm	A2_genconf_refbox	gnina	posebusters	5SD5_HWI	20260922	ok		5	-8.96	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	6.051	2.116	14.158	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SD5_HWI/receptor.pdbqt	93.55	479.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/5SD5_HWI.sdf.gz	3869	2026-09-23T03:48:08+08:00
arm	A2_genconf_refbox	gnina	posebusters	6TW7_NZB	20260922	ok		5	-9.89	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	3.995	49.111	60.156	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW7_NZB/receptor.pdbqt	54.86	461.9	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/6TW7_NZB.sdf.gz	3656	2026-09-23T03:49:33+08:00
arm	A2_genconf_refbox	gnina	posebusters	6M73_FNR	20260922	ok		5	-14.07	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	26.928	10.49	37.842	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	93.34	487.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/6M73_FNR.sdf.gz	3663	2026-09-23T03:49:06+08:00
arm	A2_genconf_refbox	gnina	posebusters	6TW5_9M2	20260922	ok		5	-11.03	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	4.202	-10.518	89.123	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	71.65	463.5	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/6TW5_9M2.sdf.gz	4029	2026-09-23T03:49:32+08:00
arm	A2_genconf_refbox	gnina	posebusters	6WTN_RXT	20260922	ok		5	-8.95	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	20.837	13.28	9.233	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6WTN_RXT/receptor.pdbqt	35.64	461.9	4	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/gnina/posebusters/6WTN_RXT.sdf.gz	2854	2026-09-23T03:50:28+08:00
