run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A2_genconf_refbox	vina	astex	1GPK_HUP	20260922	ok		5	-10.36	vina	kcal/mol (empirical score, not a measured free energy)	2.842	67.452	63.054	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	13.43	410.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1GPK_HUP.sdf.gz	2505	2026-09-23T05:10:22+08:00
arm	A2_genconf_refbox	vina	astex	1HNN_SKF	20260922	ok		5	-8.885	vina	kcal/mol (empirical score, not a measured free energy)	28.265	44.149	16.529	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	14.91	387.4	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1HNN_SKF.sdf.gz	1970	2026-09-23T05:10:22+08:00
arm	A2_genconf_refbox	vina	astex	1HQ2_PH2	20260922	ok		5	-6.73	vina	kcal/mol (empirical score, not a measured free energy)	-8.504	7.946	17.463	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	9.11	396.9	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1HQ2_PH2.sdf.gz	1750	2026-09-23T05:10:37+08:00
arm	A2_genconf_refbox	vina	astex	1HP0_AD3	20260922	ok		5	-8.469	vina	kcal/mol (empirical score, not a measured free energy)	16.686	25.497	12.944	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	24.66	440.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1HP0_AD3.sdf.gz	2390	2026-09-23T05:10:35+08:00
arm	A2_genconf_refbox	vina	astex	1GM8_SOX	20260922	ok		5	-7.92	vina	kcal/mol (empirical score, not a measured free energy)	14.458	-2.042	3.683	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	40.72	472.2	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1GM8_SOX.sdf.gz	3110	2026-09-23T05:10:22+08:00
arm	A2_genconf_refbox	vina	astex	1G9V_RQ3	20260922	ok		5	-8.329	vina	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	44.77	453.6	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1G9V_RQ3.sdf.gz	3377	2026-09-23T05:10:22+08:00
arm	A2_genconf_refbox	vina	astex	1GKC_NFH	20260922	ok		5	-6.448	vina	kcal/mol (empirical score, not a measured free energy)	65.839	30.707	117.746	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	46.77	441.4	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1GKC_NFH.sdf.gz	3502	2026-09-23T05:10:22+08:00
arm	A2_genconf_refbox	vina	astex	1HWW_SWA	20260922	ok		5	-6.398	vina	kcal/mol (empirical score, not a measured free energy)	31.377	66.383	7.718	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWW_SWA/receptor.pdbqt	8.94	472.2	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1HWW_SWA.sdf.gz	2022	2026-09-23T05:11:03+08:00
arm	A2_genconf_refbox	vina	astex	1IA1_TQ3	20260922	ok		5	-8.833	vina	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	18.01	453.6	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1IA1_TQ3.sdf.gz	2229	2026-09-23T05:11:07+08:00
arm	A2_genconf_refbox	vina	astex	1J3J_CP6	20260922	ok		5	-8.74	vina	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	15.07	472.2	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/astex/1J3J_CP6.sdf.gz	2220	2026-09-23T05:11:12+08:00
