run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A2_genconf_refbox	vina	posebusters	5SB2_1K2	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	-22.44	0.413	-2.536	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/5SB2_1K2.sdf.gz	3509	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	5SD5_HWI	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	6.051	2.116	14.158	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SD5_HWI/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/5SD5_HWI.sdf.gz	3878	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6M73_FNR	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	26.928	10.49	37.842	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6M73_FNR.sdf.gz	1737	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	5SAK_ZRY	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	25.471	5.162	58.03	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SAK_ZRY/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/5SAK_ZRY.sdf.gz	2187	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6M2B_EZO	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	27.402	-22.631	22.529	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6M2B_EZO.sdf.gz	2777	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6T88_MWQ	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	-11.543	-53.215	-6.852	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6T88_MWQ/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6T88_MWQ.sdf.gz	1418	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	5SIS_JSM	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	32.257	108.568	58.361	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/5SIS_JSM.sdf.gz	3958	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6TW7_NZB	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	3.995	49.111	60.156	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW7_NZB/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6TW7_NZB.sdf.gz	3649	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6TW5_9M2	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	4.202	-10.518	89.123	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6TW5_9M2.sdf.gz	4021	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6VTA_AKN	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	92.745	8.791	30.717	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6VTA_AKN/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6VTA_AKN.sdf.gz	5711	2026-09-23T02:35:16+08:00
arm	A2_genconf_refbox	vina	posebusters	6XCT_478	20260922	cached				vina	kcal/mol (empirical score, not a measured free energy)	12.718	15.878	-10.671	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XCT_478/receptor.pdbqt	0.0		5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vina/posebusters/6XCT_478.sdf.gz	4834	2026-09-23T02:35:16+08:00
