run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A2_genconf_refbox	vinardo	astex	1GPK_HUP	20260922	ok		5	-9.6	vinardo	kcal/mol (empirical score, not a measured free energy)	2.842	67.452	63.054	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	11.1	65.9	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1GPK_HUP.sdf.gz	2516	2026-09-23T05:22:09+08:00
arm	A2_genconf_refbox	vinardo	astex	1HNN_SKF	20260922	ok		5	-8.6	vinardo	kcal/mol (empirical score, not a measured free energy)	28.265	44.149	16.529	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	13.31	70.3	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1HNN_SKF.sdf.gz	1918	2026-09-23T05:22:09+08:00
arm	A2_genconf_refbox	vinardo	astex	1HQ2_PH2	20260922	ok		5	-7.8	vinardo	kcal/mol (empirical score, not a measured free energy)	-8.504	7.946	17.463	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	8.77	181.3	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1HQ2_PH2.sdf.gz	1764	2026-09-23T05:22:23+08:00
arm	A2_genconf_refbox	vinardo	astex	1HP0_AD3	20260922	ok		5	-9.2	vinardo	kcal/mol (empirical score, not a measured free energy)	16.686	25.497	12.944	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	18.28	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1HP0_AD3.sdf.gz	2402	2026-09-23T05:22:21+08:00
arm	A2_genconf_refbox	vinardo	astex	1GM8_SOX	20260922	ok		5	-6.3	vinardo	kcal/mol (empirical score, not a measured free energy)	14.458	-2.042	3.683	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	39.12	76.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1GM8_SOX.sdf.gz	3123	2026-09-23T05:22:09+08:00
arm	A2_genconf_refbox	vinardo	astex	1HWW_SWA	20260922	ok		5	-5.6	vinardo	kcal/mol (empirical score, not a measured free energy)	31.377	66.383	7.718	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWW_SWA/receptor.pdbqt	5.34	181.6	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1HWW_SWA.sdf.gz	2052	2026-09-23T05:22:49+08:00
arm	A2_genconf_refbox	vinardo	astex	1G9V_RQ3	20260922	ok		5	-8.4	vinardo	kcal/mol (empirical score, not a measured free energy)	16.966	16.623	41.744	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	45.21	71.2	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1G9V_RQ3.sdf.gz	3442	2026-09-23T05:22:09+08:00
arm	A2_genconf_refbox	vinardo	astex	1GKC_NFH	20260922	ok		5	-8.0	vinardo	kcal/mol (empirical score, not a measured free energy)	65.839	30.707	117.746	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	47.18	65.3	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1GKC_NFH.sdf.gz	3493	2026-09-23T05:22:09+08:00
arm	A2_genconf_refbox	vinardo	astex	1IA1_TQ3	20260922	ok		5	-10.2	vinardo	kcal/mol (empirical score, not a measured free energy)	10.259	36.337	18.564	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	14.69	181.6	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1IA1_TQ3.sdf.gz	2246	2026-09-23T05:22:54+08:00
arm	A2_genconf_refbox	vinardo	astex	1J3J_CP6	20260922	ok		5	-9.6	vinardo	kcal/mol (empirical score, not a measured free energy)	28.165	5.311	58.672	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	12.99	181.4	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1J3J_CP6.sdf.gz	2195	2026-09-23T05:22:57+08:00
arm	A2_genconf_refbox	vinardo	astex	1IG3_VIB	20260922	ok		5	-8.7	vinardo	kcal/mol (empirical score, not a measured free energy)	23.83	41.109	19.486	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	22.37	181.3	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1IG3_VIB.sdf.gz	2609	2026-09-23T05:22:55+08:00
arm	A2_genconf_refbox	vinardo	astex	1JD0_AZM	20260922	ok		5	-5.9	vinardo	kcal/mol (empirical score, not a measured free energy)	-14.55	-6.507	20.915	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	11.77	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1JD0_AZM.sdf.gz	1483	2026-09-23T05:23:09+08:00
arm	A2_genconf_refbox	vinardo	astex	1JJE_BYS	20260922	ok		5	-11.3	vinardo	kcal/mol (empirical score, not a measured free energy)	57.657	24.777	34.576	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JJE_BYS/receptor.pdbqt	47.89	181.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1JJE_BYS.sdf.gz	3007	2026-09-23T05:23:10+08:00
arm	A2_genconf_refbox	vinardo	astex	1HWI_115	20260922	ok		5	-10.2	vinardo	kcal/mol (empirical score, not a measured free energy)	33.197	-6.634	-10.597	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HWI_115/receptor.pdbqt	79.34	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1HWI_115.sdf.gz	3793	2026-09-23T05:22:39+08:00
arm	A2_genconf_refbox	vinardo	astex	1K3U_IAD	20260922	ok		3	-11.8	vinardo	kcal/mol (empirical score, not a measured free energy)	48.894	27.243	13.062	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1K3U_IAD/receptor.pdbqt	40.39	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1K3U_IAD.sdf.gz	1663	2026-09-23T05:23:20+08:00
arm	A2_genconf_refbox	vinardo	astex	1HVY_D16	20260922	ok		5	-10.0	vinardo	kcal/mol (empirical score, not a measured free energy)	69.179	45.229	25.375	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HVY_D16/receptor.pdbqt	104.8	181.4	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1HVY_D16.sdf.gz	3781	2026-09-23T05:22:32+08:00
arm	A2_genconf_refbox	vinardo	astex	1L2S_STC	20260922	ok		5	-8.0	vinardo	kcal/mol (empirical score, not a measured free energy)	79.802	5.352	29.948	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L2S_STC/receptor.pdbqt	25.21	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1L2S_STC.sdf.gz	2018	2026-09-23T05:24:01+08:00
arm	A2_genconf_refbox	vinardo	astex	1KE5_LS1	20260922	ok		5	-9.0	vinardo	kcal/mol (empirical score, not a measured free energy)	-9.51	48.704	38.092	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	31.14	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1KE5_LS1.sdf.gz	2739	2026-09-23T05:23:58+08:00
arm	A2_genconf_refbox	vinardo	astex	1JLA_TNK	20260922	ok		1	-12.8	vinardo	kcal/mol (empirical score, not a measured free energy)	-3.08	-35.284	24.86	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JLA_TNK/receptor.pdbqt	73.06	181.3	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1JLA_TNK.sdf.gz	1031	2026-09-23T05:23:17+08:00
arm	A2_genconf_refbox	vinardo	astex	1LRH_NLA	20260922	ok		5	-8.1	vinardo	kcal/mol (empirical score, not a measured free energy)	36.701	58.407	77.461	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1LRH_NLA/receptor.pdbqt	9.46	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1LRH_NLA.sdf.gz	1794	2026-09-23T05:24:29+08:00
arm	A2_genconf_refbox	vinardo	astex	1M2Z_DEX	20260922	ok		1	-11.0	vinardo	kcal/mol (empirical score, not a measured free energy)	30.453	7.022	13.256	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1M2Z_DEX/receptor.pdbqt	29.9	181.3	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1M2Z_DEX.sdf.gz	1123	2026-09-23T05:24:30+08:00
arm	A2_genconf_refbox	vinardo	astex	1L7F_BCZ	20260922	ok		5	-7.0	vinardo	kcal/mol (empirical score, not a measured free energy)	25.917	17.175	62.803	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L7F_BCZ/receptor.pdbqt	44.87	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1L7F_BCZ.sdf.gz	3567	2026-09-23T05:24:16+08:00
arm	A2_genconf_refbox	vinardo	astex	1MZC_BNE	20260922	failed	vinardo: ATOM     11  C   UNL     1      -3.766   1.999   0.822  1.00  0.00    +0.003 CG0			vinardo	kcal/mol (empirical score, not a measured free energy)	17.14	133.836	-2.639	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1MZC_BNE/receptor.pdbqt	0.13		5			2026-09-23T05:25:01+08:00
arm	A2_genconf_refbox	vinardo	astex	1N1M_A3M	20260922	ok		5	-5.4	vinardo	kcal/mol (empirical score, not a measured free energy)	81.621	75.002	97.963	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N1M_A3M/receptor.pdbqt	8.81	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1N1M_A3M.sdf.gz	2222	2026-09-23T05:25:01+08:00
arm	A2_genconf_refbox	vinardo	astex	1MEH_MOA	20260922	ok		5	-7.9	vinardo	kcal/mol (empirical score, not a measured free energy)	56.294	55.996	18.24	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1MEH_MOA/receptor.pdbqt	37.49	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1MEH_MOA.sdf.gz	2989	2026-09-23T05:24:38+08:00
arm	A2_genconf_refbox	vinardo	astex	1N2J_PAF	20260922	ok		5	-4.9	vinardo	kcal/mol (empirical score, not a measured free energy)	32.685	33.843	47.379	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N2J_PAF/receptor.pdbqt	8.33	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1N2J_PAF.sdf.gz	1593	2026-09-23T05:25:10+08:00
arm	A2_genconf_refbox	vinardo	astex	1MMV_3AR	20260922	ok		5	-7.9	vinardo	kcal/mol (empirical score, not a measured free energy)	13.994	-0.076	58.899	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1MMV_3AR/receptor.pdbqt	27.01	181.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1MMV_3AR.sdf.gz	2577	2026-09-23T05:25:00+08:00
arm	A2_genconf_refbox	vinardo	astex	1N2V_BDI	20260922	ok		5	-6.5	vinardo	kcal/mol (empirical score, not a measured free energy)	16.229	17.404	20.877	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N2V_BDI/receptor.pdbqt	14.26	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1N2V_BDI.sdf.gz	1897	2026-09-23T05:25:16+08:00
arm	A2_genconf_refbox	vinardo	astex	1LPZ_CMB	20260922	ok		5	-11.4	vinardo	kcal/mol (empirical score, not a measured free energy)	7.335	6.815	22.976	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1LPZ_CMB/receptor.pdbqt	77.56	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1LPZ_CMB.sdf.gz	3762	2026-09-23T05:24:26+08:00
arm	A2_genconf_refbox	vinardo	astex	1OF1_SCT	20260922	ok		5	-6.2	vinardo	kcal/mol (empirical score, not a measured free energy)	20.102	21.919	9.463	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OF1_SCT/receptor.pdbqt	15.95	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1OF1_SCT.sdf.gz	2526	2026-09-23T05:25:30+08:00
arm	A2_genconf_refbox	vinardo	astex	1OF6_DTY	20260922	ok		5	-8.6	vinardo	kcal/mol (empirical score, not a measured free energy)	31.64	-1.272	49.771	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OF6_DTY/receptor.pdbqt	14.03	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1OF6_DTY.sdf.gz	1851	2026-09-23T05:25:44+08:00
arm	A2_genconf_refbox	vinardo	astex	1NAV_IH5	20260922	ok		3	-11.8	vinardo	kcal/mol (empirical score, not a measured free energy)	48.32	18.236	19.534	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1NAV_IH5/receptor.pdbqt	32.35	181.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1NAV_IH5.sdf.gz	1757	2026-09-23T05:25:27+08:00
arm	A2_genconf_refbox	vinardo	astex	1N46_PFA	20260922	ok		2	-11.9	vinardo	kcal/mol (empirical score, not a measured free energy)	20.784	6.68	2.904	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1N46_PFA/receptor.pdbqt	43.36	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1N46_PFA.sdf.gz	1544	2026-09-23T05:25:18+08:00
arm	A2_genconf_refbox	vinardo	astex	1OWE_675	20260922	ok		5	-8.5	vinardo	kcal/mol (empirical score, not a measured free energy)	22.64	15.905	32.533	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OWE_675/receptor.pdbqt	26.49	181.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1OWE_675.sdf.gz	2674	2026-09-23T05:25:59+08:00
arm	A2_genconf_refbox	vinardo	astex	1P2Y_NCT	20260922	ok		5	-6.2	vinardo	kcal/mol (empirical score, not a measured free energy)	16.332	12.716	41.045	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1P2Y_NCT/receptor.pdbqt	6.77	181.5	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1P2Y_NCT.sdf.gz	1947	2026-09-23T05:26:26+08:00
arm	A2_genconf_refbox	vinardo	astex	1OPK_P16	20260922	ok		4	-12.4	vinardo	kcal/mol (empirical score, not a measured free energy)	46.447	18.007	17.919	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OPK_P16/receptor.pdbqt	49.35	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1OPK_P16.sdf.gz	2509	2026-09-23T05:25:46+08:00
arm	A2_genconf_refbox	vinardo	astex	1OQ5_CEL	20260922	ok		5	-8.1	vinardo	kcal/mol (empirical score, not a measured free energy)	17.014	6.827	13.637	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OQ5_CEL/receptor.pdbqt	38.96	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1OQ5_CEL.sdf.gz	2789	2026-09-23T05:25:58+08:00
arm	A2_genconf_refbox	vinardo	astex	1P62_GEO	20260922	ok		5	-6.5	vinardo	kcal/mol (empirical score, not a measured free energy)	68.707	34.922	19.397	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1P62_GEO/receptor.pdbqt	15.88	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1P62_GEO.sdf.gz	2215	2026-09-23T05:26:33+08:00
arm	A2_genconf_refbox	vinardo	astex	1OYT_FSN	20260922	ok		5	-8.7	vinardo	kcal/mol (empirical score, not a measured free energy)	16.793	-12.378	21.829	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1OYT_FSN/receptor.pdbqt	54.62	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1OYT_FSN.sdf.gz	3842	2026-09-23T05:26:02+08:00
arm	A2_genconf_refbox	vinardo	astex	1Q41_IXM	20260922	ok		5	-8.8	vinardo	kcal/mol (empirical score, not a measured free energy)	39.632	6.297	36.269	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1Q41_IXM/receptor.pdbqt	8.27	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1Q41_IXM.sdf.gz	2327	2026-09-23T05:26:48+08:00
arm	A2_genconf_refbox	vinardo	astex	1Q1G_MTI	20260922	ok		5	-7.5	vinardo	kcal/mol (empirical score, not a measured free energy)	32.029	23.965	65.06	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1Q1G_MTI/receptor.pdbqt	28.88	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1Q1G_MTI.sdf.gz	2746	2026-09-23T05:26:37+08:00
arm	A2_genconf_refbox	vinardo	astex	1Q4G_BFL	20260922	ok		5	-8.6	vinardo	kcal/mol (empirical score, not a measured free energy)	67.692	22.366	190.905	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1Q4G_BFL/receptor.pdbqt	19.36	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1Q4G_BFL.sdf.gz	2262	2026-09-23T05:26:56+08:00
arm	A2_genconf_refbox	vinardo	astex	1KZK_JE2	20260922	ok		5	-12.0	vinardo	kcal/mol (empirical score, not a measured free energy)	19.859	-1.74	16.894	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KZK_JE2/receptor.pdbqt	218.07	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1KZK_JE2.sdf.gz	5338	2026-09-23T05:23:58+08:00
arm	A2_genconf_refbox	vinardo	astex	1PMN_984	20260922	ok		5	-10.3	vinardo	kcal/mol (empirical score, not a measured free energy)	22.145	10.709	31.938	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1PMN_984/receptor.pdbqt	76.6	181.8	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1PMN_984.sdf.gz	4362	2026-09-23T05:26:35+08:00
arm	A2_genconf_refbox	vinardo	astex	1R9O_FLP	20260922	ok		5	-9.1	vinardo	kcal/mol (empirical score, not a measured free energy)	8.636	33.142	-1.903	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1R9O_FLP/receptor.pdbqt	15.92	181.9	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1R9O_FLP.sdf.gz	2305	2026-09-23T05:27:36+08:00
arm	A2_genconf_refbox	vinardo	astex	1R55_097	20260922	ok		5	-7.6	vinardo	kcal/mol (empirical score, not a measured free energy)	9.381	13.944	25.293	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1R55_097/receptor.pdbqt	50.31	181.7	5	/home/qasim/vgb_bench_data/poses/A2_genconf_refbox/vinardo/astex/1R55_097.sdf.gz	3557	2026-09-23T05:27:05+08:00
