run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A3_genconf_detbox	gnina	astex	1GPK_HUP	20260922	ok		5	-6.34	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	1.535	63.384	69.873	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	21.23	464.0	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1GPK_HUP.sdf.gz	2560	2026-09-24T20:13:45+08:00
arm	A3_genconf_detbox	gnina	astex	1HNN_SKF	20260922	ok		5	-9.19	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	28.685	44.606	17.728	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	27.71	464.0	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1HNN_SKF.sdf.gz	1964	2026-09-24T20:14:06+08:00
arm	A3_genconf_detbox	gnina	astex	1GM8_SOX	20260922	ok		5	-5.45	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	4.268	0.833	-10.883	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	67.41	459.6	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1GM8_SOX.sdf.gz	3115	2026-09-24T20:13:45+08:00
arm	A3_genconf_detbox	gnina	astex	1GKC_NFH	20260922	ok		5	-3.94	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	51.066	25.071	129.045	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	92.06	450.5	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1GKC_NFH.sdf.gz	3567	2026-09-24T20:13:45+08:00
arm	A3_genconf_detbox	gnina	astex	1G9V_RQ3	20260922	ok		5	-4.94	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-5.885	7.34	31.235	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	93.7	452.7	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1G9V_RQ3.sdf.gz	3417	2026-09-24T20:13:45+08:00
arm	A3_genconf_detbox	gnina	astex	1HP0_AD3	20260922	ok		5	-9.7	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	22.7	27.938	38.894	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	46.8	464.0	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1HP0_AD3.sdf.gz	2435	2026-09-24T20:14:34+08:00
arm	A3_genconf_detbox	gnina	astex	1HQ2_PH2	20260922	ok		5	-9.34	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-7.36	6.536	18.383	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	30.12	463.0	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1HQ2_PH2.sdf.gz	1773	2026-09-24T20:14:52+08:00
arm	A3_genconf_detbox	gnina	astex	1J3J_CP6	20260922	ok		5	-5.24	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	12.56	-19.876	13.334	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	48.11	463.0	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1J3J_CP6.sdf.gz	2235	2026-09-24T20:15:22+08:00
arm	A3_genconf_detbox	gnina	astex	1IA1_TQ3	20260922	ok		5	-5.45	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-6.702	31.599	21.638	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	56.77	452.7	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1IA1_TQ3.sdf.gz	2253	2026-09-24T20:15:19+08:00
arm	A3_genconf_detbox	gnina	astex	1IG3_VIB	20260922	ok		5	-6.9	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	27.03	62.25	32.746	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	61.65	464.0	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/astex/1IG3_VIB.sdf.gz	2531	2026-09-24T20:15:21+08:00
