run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A3_genconf_detbox	gnina	posebusters	5SAK_ZRY	20260922	ok		5	-8.13	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	23.112	4.138	56.26	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SAK_ZRY/receptor.pdbqt	31.54	443.7	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/5SAK_ZRY.sdf.gz	2272	2026-09-24T16:48:39+08:00
arm	A3_genconf_detbox	gnina	posebusters	5SB2_1K2	20260922	ok		5	-12.48	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-20.734	0.85	0.395	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	88.59	450.1	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/5SB2_1K2.sdf.gz	3519	2026-09-24T16:48:39+08:00
arm	A3_genconf_detbox	gnina	posebusters	6M2B_EZO	20260922	ok		5	-10.49	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	31.987	-20.751	19.54	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	74.39	463.4	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6M2B_EZO.sdf.gz	2755	2026-09-24T16:49:10+08:00
arm	A3_genconf_detbox	gnina	posebusters	5SIS_JSM	20260922	ok		5	-7.53	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	33.655	105.873	62.69	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	133.86	467.4	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/5SIS_JSM.sdf.gz	3983	2026-09-24T16:48:39+08:00
arm	A3_genconf_detbox	gnina	posebusters	6T88_MWQ	20260922	ok		5	-3.12	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	0.161	-30.86	-12.163	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6T88_MWQ/receptor.pdbqt	29.0	463.4	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6T88_MWQ.sdf.gz	1448	2026-09-24T16:50:25+08:00
arm	A3_genconf_detbox	gnina	posebusters	5SD5_HWI	20260922	ok		5	-9.13	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	15.561	-2.809	13.331	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SD5_HWI/receptor.pdbqt	154.92	472.7	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/5SD5_HWI.sdf.gz	3856	2026-09-24T16:48:39+08:00
arm	A3_genconf_detbox	gnina	posebusters	6M73_FNR	20260922	ok		5	-14.05	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	25.78	10.868	37.383	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	127.75	467.9	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6M73_FNR.sdf.gz	3718	2026-09-24T16:50:07+08:00
arm	A3_genconf_detbox	gnina	posebusters	6TW5_9M2	20260922	ok		5	-8.4	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	22.199	23.531	53.329	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	98.52	467.4	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6TW5_9M2.sdf.gz	4102	2026-09-24T16:50:52+08:00
arm	A3_genconf_detbox	gnina	posebusters	6TW7_NZB	20260922	ok		5	-8.32	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	5.118	37.427	52.062	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW7_NZB/receptor.pdbqt	108.15	463.4	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6TW7_NZB.sdf.gz	3648	2026-09-24T16:50:54+08:00
arm	A3_genconf_detbox	gnina	posebusters	6WTN_RXT	20260922	ok		5	-5.93	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	33.94	16.991	1.654	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6WTN_RXT/receptor.pdbqt	53.94	467.9	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6WTN_RXT.sdf.gz	2972	2026-09-24T16:52:15+08:00
arm	A3_genconf_detbox	gnina	posebusters	6XBO_5MC	20260922	ok		5	-7.9	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	16.385	-16.019	10.818	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XBO_5MC/receptor.pdbqt	51.59	476.2	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6XBO_5MC.sdf.gz	2764	2026-09-24T16:52:31+08:00
arm	A3_genconf_detbox	gnina	posebusters	6XG5_TOP	20260922	ok		5	-5.02	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-22.775	24.325	5.632	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XG5_TOP/receptor.pdbqt	51.05	467.9	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6XG5_TOP.sdf.gz	2733	2026-09-24T16:53:09+08:00
arm	A3_genconf_detbox	gnina	posebusters	6XM9_V55	20260922	ok		5	-4.35	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	15.798	23.342	41.569	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XM9_V55/receptor.pdbqt	28.37	467.9	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6XM9_V55.sdf.gz	1539	2026-09-24T16:54:00+08:00
arm	A3_genconf_detbox	gnina	posebusters	6YJA_2BA	20260922	failed	gnina: ATOM     26  C   UNL     1      -1.389   2.322  -0.859  1.00  0.00    +0.208 CG0			gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	15.05	-11.848	35.02	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6YJA_2BA/receptor.pdbqt	0.81		4			2026-09-24T16:54:28+08:00
arm	A3_genconf_detbox	gnina	posebusters	6VTA_AKN	20260922	ok		5	-5.15	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	99.974	12.932	42.699	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6VTA_AKN/receptor.pdbqt	466.23	472.7	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6VTA_AKN.sdf.gz	5874	2026-09-24T16:51:14+08:00
arm	A3_genconf_detbox	gnina	posebusters	6XCT_478	20260922	ok		5	-5.61	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	10.744	6.507	13.239	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XCT_478/receptor.pdbqt	397.85	463.4	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6XCT_478.sdf.gz	4867	2026-09-24T16:52:42+08:00
arm	A3_genconf_detbox	gnina	posebusters	6YQV_8K2	20260922	ok		5	-5.08	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	2.752	-12.447	30.5	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6YQV_8K2/receptor.pdbqt	49.07	472.7	4	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/gnina/posebusters/6YQV_8K2.sdf.gz	1217	2026-09-24T16:59:00+08:00
