run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A3_genconf_detbox	vina	astex	1GPK_HUP	20260922	ok		4	-10.34	vina	kcal/mol (empirical score, not a measured free energy)	1.535	63.384	69.873	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	89.65	410.2	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1GPK_HUP.sdf.gz	2097	2026-09-24T19:24:58+08:00
arm	A3_genconf_detbox	vina	astex	1HNN_SKF	20260922	ok		4	-8.86	vina	kcal/mol (empirical score, not a measured free energy)	28.685	44.606	17.728	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	91.82	387.5	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1HNN_SKF.sdf.gz	1614	2026-09-24T19:24:58+08:00
arm	A3_genconf_detbox	vina	astex	1HQ2_PH2	20260922	ok		5	-9.153	vina	kcal/mol (empirical score, not a measured free energy)	-7.36	6.536	18.383	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	47.13	396.7	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1HQ2_PH2.sdf.gz	1735	2026-09-24T19:26:30+08:00
arm	A3_genconf_detbox	vina	astex	1HP0_AD3	20260922	ok		5	-8.53	vina	kcal/mol (empirical score, not a measured free energy)	22.7	27.938	38.894	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	162.01	440.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1HP0_AD3.sdf.gz	2377	2026-09-24T19:26:27+08:00
arm	A3_genconf_detbox	vina	astex	1GM8_SOX	20260922	ok		5	-6.513	vina	kcal/mol (empirical score, not a measured free energy)	4.268	0.833	-10.883	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	303.62	472.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1GM8_SOX.sdf.gz	3130	2026-09-24T19:24:58+08:00
arm	A3_genconf_detbox	vina	astex	1GKC_NFH	20260922	ok		5	-4.748	vina	kcal/mol (empirical score, not a measured free energy)	51.066	25.071	129.045	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	346.97	441.5	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1GKC_NFH.sdf.gz	3607	2026-09-24T19:24:58+08:00
arm	A3_genconf_detbox	vina	astex	1IA1_TQ3	20260922	ok		5	-5.78	vina	kcal/mol (empirical score, not a measured free energy)	-6.702	31.599	21.638	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	106.18	440.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1IA1_TQ3.sdf.gz	2272	2026-09-24T19:29:09+08:00
arm	A3_genconf_detbox	vina	astex	1G9V_RQ3	20260922	ok		5	-7.96	vina	kcal/mol (empirical score, not a measured free energy)	-5.885	7.34	31.235	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	372.19	453.6	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1G9V_RQ3.sdf.gz	3376	2026-09-24T19:24:58+08:00
arm	A3_genconf_detbox	vina	astex	1JD0_AZM	20260922	ok		5	-6.479	vina	kcal/mol (empirical score, not a measured free energy)	6.94	-12.205	23.695	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	42.95	440.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1JD0_AZM.sdf.gz	1466	2026-09-24T19:30:56+08:00
arm	A3_genconf_detbox	vina	astex	1IG3_VIB	20260922	ok		5	-6.064	vina	kcal/mol (empirical score, not a measured free energy)	27.03	62.25	32.746	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	111.72	472.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1IG3_VIB.sdf.gz	2529	2026-09-24T19:30:01+08:00
arm	A3_genconf_detbox	vina	astex	1J3J_CP6	20260922	ok		5	-6.057	vina	kcal/mol (empirical score, not a measured free energy)	12.56	-19.876	13.334	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	70.02	441.5	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1J3J_CP6.sdf.gz	2146	2026-09-24T19:30:45+08:00
arm	A3_genconf_detbox	vina	astex	1KE5_LS1	20260922	ok		5	-5.939	vina	kcal/mol (empirical score, not a measured free energy)	7.761	46.258	42.07	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	201.93	449.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vina/astex/1KE5_LS1.sdf.gz	2778	2026-09-24T19:31:55+08:00
