run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A3_genconf_detbox	vinardo	astex	1GPK_HUP	20260922	ok		5	-9.6	vinardo	kcal/mol (empirical score, not a measured free energy)	1.535	63.384	69.873	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GPK_HUP/receptor.pdbqt	18.89	66.1	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1GPK_HUP.sdf.gz	2506	2026-09-24T19:53:51+08:00
arm	A3_genconf_detbox	vinardo	astex	1HNN_SKF	20260922	ok		4	-8.6	vinardo	kcal/mol (empirical score, not a measured free energy)	28.685	44.606	17.728	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HNN_SKF/receptor.pdbqt	22.48	70.6	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1HNN_SKF.sdf.gz	1606	2026-09-24T19:53:51+08:00
arm	A3_genconf_detbox	vinardo	astex	1HQ2_PH2	20260922	ok		5	-7.9	vinardo	kcal/mol (empirical score, not a measured free energy)	-7.36	6.536	18.383	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HQ2_PH2/receptor.pdbqt	13.48	181.5	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1HQ2_PH2.sdf.gz	1767	2026-09-24T19:54:14+08:00
arm	A3_genconf_detbox	vinardo	astex	1HP0_AD3	20260922	ok		5	-9.7	vinardo	kcal/mol (empirical score, not a measured free energy)	22.7	27.938	38.894	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HP0_AD3/receptor.pdbqt	26.72	181.6	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1HP0_AD3.sdf.gz	2383	2026-09-24T19:54:10+08:00
arm	A3_genconf_detbox	vinardo	astex	1IA1_TQ3	20260922	ok		5	-6.7	vinardo	kcal/mol (empirical score, not a measured free energy)	-6.702	31.599	21.638	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IA1_TQ3/receptor.pdbqt	21.16	181.7	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1IA1_TQ3.sdf.gz	2266	2026-09-24T19:54:37+08:00
arm	A3_genconf_detbox	vinardo	astex	1GM8_SOX	20260922	ok		5	-6.2	vinardo	kcal/mol (empirical score, not a measured free energy)	4.268	0.833	-10.883	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GM8_SOX/receptor.pdbqt	69.27	76.6	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1GM8_SOX.sdf.gz	3212	2026-09-24T19:53:51+08:00
arm	A3_genconf_detbox	vinardo	astex	1GKC_NFH	20260922	ok		5	-5.6	vinardo	kcal/mol (empirical score, not a measured free energy)	51.066	25.071	129.045	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1GKC_NFH/receptor.pdbqt	80.5	65.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1GKC_NFH.sdf.gz	3693	2026-09-24T19:53:51+08:00
arm	A3_genconf_detbox	vinardo	astex	1J3J_CP6	20260922	ok		5	-6.3	vinardo	kcal/mol (empirical score, not a measured free energy)	12.56	-19.876	13.334	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1J3J_CP6/receptor.pdbqt	21.3	181.8	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1J3J_CP6.sdf.gz	2138	2026-09-24T19:55:00+08:00
arm	A3_genconf_detbox	vinardo	astex	1G9V_RQ3	20260922	ok		5	-7.8	vinardo	kcal/mol (empirical score, not a measured free energy)	-5.885	7.34	31.235	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1G9V_RQ3/receptor.pdbqt	94.87	71.2	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1G9V_RQ3.sdf.gz	3340	2026-09-24T19:53:51+08:00
arm	A3_genconf_detbox	vinardo	astex	1JD0_AZM	20260922	ok		5	-5.3	vinardo	kcal/mol (empirical score, not a measured free energy)	6.94	-12.205	23.695	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JD0_AZM/receptor.pdbqt	16.71	181.7	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1JD0_AZM.sdf.gz	1483	2026-09-24T19:55:12+08:00
arm	A3_genconf_detbox	vinardo	astex	1IG3_VIB	20260922	ok		5	-6.9	vinardo	kcal/mol (empirical score, not a measured free energy)	27.03	62.25	32.746	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1IG3_VIB/receptor.pdbqt	33.86	181.7	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1IG3_VIB.sdf.gz	2536	2026-09-24T19:54:58+08:00
arm	A3_genconf_detbox	vinardo	astex	1KE5_LS1	20260922	ok		5	-5.4	vinardo	kcal/mol (empirical score, not a measured free energy)	7.761	46.258	42.07	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1KE5_LS1/receptor.pdbqt	57.08	181.9	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1KE5_LS1.sdf.gz	2743	2026-09-24T19:55:32+08:00
arm	A3_genconf_detbox	vinardo	astex	1K3U_IAD	20260922	ok		5	-6.5	vinardo	kcal/mol (empirical score, not a measured free energy)	83.07	16.773	5.1	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1K3U_IAD/receptor.pdbqt	65.66	181.8	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1K3U_IAD.sdf.gz	2596	2026-09-24T19:55:28+08:00
arm	A3_genconf_detbox	vinardo	astex	1JJE_BYS	20260922	ok		5	-10.3	vinardo	kcal/mol (empirical score, not a measured free energy)	23.598	-2.834	17.12	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JJE_BYS/receptor.pdbqt	77.32	181.8	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1JJE_BYS.sdf.gz	3100	2026-09-24T19:55:22+08:00
arm	A3_genconf_detbox	vinardo	astex	1JLA_TNK	20260922	ok		5	-6.2	vinardo	kcal/mol (empirical score, not a measured free energy)	30.171	-1.209	1.07	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1JLA_TNK/receptor.pdbqt	92.9	181.7	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1JLA_TNK.sdf.gz	3432	2026-09-24T19:55:26+08:00
arm	A3_genconf_detbox	vinardo	astex	1HVY_D16	20260922	ok		5	-7.9	vinardo	kcal/mol (empirical score, not a measured free energy)	6.17	-26.898	-0.094	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1HVY_D16/receptor.pdbqt	158.24	181.5	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1HVY_D16.sdf.gz	3787	2026-09-24T19:54:27+08:00
arm	A3_genconf_detbox	vinardo	astex	1L2S_STC	20260922	ok		5	-5.8	vinardo	kcal/mol (empirical score, not a measured free energy)	39.868	-0.835	0.08	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1L2S_STC/receptor.pdbqt	40.78	182.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1L2S_STC.sdf.gz	2023	2026-09-24T19:56:34+08:00
arm	A3_genconf_detbox	vinardo	astex	1LRH_NLA	20260922	ok		5	-5.4	vinardo	kcal/mol (empirical score, not a measured free energy)	17.318	60.069	80.062	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/astex/1LRH_NLA/receptor.pdbqt	17.79	181.8	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/astex/1LRH_NLA.sdf.gz	1814	2026-09-24T19:57:05+08:00
