run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A3_genconf_detbox	vinardo	posebusters	5SAK_ZRY	20260922	ok		5	-9.4	vinardo	kcal/mol (empirical score, not a measured free energy)	23.112	4.138	56.26	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SAK_ZRY/receptor.pdbqt	25.13	65.1	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/5SAK_ZRY.sdf.gz	2200	2026-09-24T14:56:16+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6M2B_EZO	20260922	ok		5	-9.5	vinardo	kcal/mol (empirical score, not a measured free energy)	31.987	-20.751	19.54	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M2B_EZO/receptor.pdbqt	68.23	73.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6M2B_EZO.sdf.gz	2781	2026-09-24T14:56:16+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6T88_MWQ	20260922	ok		5	-4.4	vinardo	kcal/mol (empirical score, not a measured free energy)	0.161	-30.86	-12.163	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6T88_MWQ/receptor.pdbqt	11.12	182.1	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6T88_MWQ.sdf.gz	1487	2026-09-24T14:57:25+08:00
arm	A3_genconf_detbox	vinardo	posebusters	5SB2_1K2	20260922	ok		3	-13.7	vinardo	kcal/mol (empirical score, not a measured free energy)	-20.734	0.85	0.395	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SB2_1K2/receptor.pdbqt	94.48	70.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/5SB2_1K2.sdf.gz	2290	2026-09-24T14:56:16+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6M73_FNR	20260922	ok		2	-13.8	vinardo	kcal/mol (empirical score, not a measured free energy)	25.78	10.868	37.383	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6M73_FNR/receptor.pdbqt	110.98	182.1	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6M73_FNR.sdf.gz	1752	2026-09-24T14:56:42+08:00
arm	A3_genconf_detbox	vinardo	posebusters	5SIS_JSM	20260922	ok		5	-8.8	vinardo	kcal/mol (empirical score, not a measured free energy)	33.655	105.873	62.69	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SIS_JSM/receptor.pdbqt	139.59	73.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/5SIS_JSM.sdf.gz	3985	2026-09-24T14:56:16+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6WTN_RXT	20260922	ok		5	-6.4	vinardo	kcal/mol (empirical score, not a measured free energy)	33.94	16.991	1.654	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6WTN_RXT/receptor.pdbqt	39.46	182.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6WTN_RXT.sdf.gz	2982	2026-09-24T14:58:36+08:00
arm	A3_genconf_detbox	vinardo	posebusters	5SD5_HWI	20260922	ok		5	-10.1	vinardo	kcal/mol (empirical score, not a measured free energy)	15.561	-2.809	13.331	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/5SD5_HWI/receptor.pdbqt	183.66	70.9	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/5SD5_HWI.sdf.gz	3919	2026-09-24T14:56:16+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6TW5_9M2	20260922	ok		5	-7.0	vinardo	kcal/mol (empirical score, not a measured free energy)	22.199	23.531	53.329	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW5_9M2/receptor.pdbqt	135.13	182.1	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6TW5_9M2.sdf.gz	4144	2026-09-24T14:57:36+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6XBO_5MC	20260922	ok		5	-8.4	vinardo	kcal/mol (empirical score, not a measured free energy)	16.385	-16.019	10.818	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XBO_5MC/receptor.pdbqt	36.36	182.3	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6XBO_5MC.sdf.gz	2760	2026-09-24T14:59:15+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6TW7_NZB	20260922	ok		5	-8.0	vinardo	kcal/mol (empirical score, not a measured free energy)	5.118	37.427	52.062	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6TW7_NZB/receptor.pdbqt	149.99	182.3	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6TW7_NZB.sdf.gz	3684	2026-09-24T14:57:51+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6XG5_TOP	20260922	ok		5	-5.7	vinardo	kcal/mol (empirical score, not a measured free energy)	-22.775	24.325	5.632	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XG5_TOP/receptor.pdbqt	31.68	182.3	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6XG5_TOP.sdf.gz	2716	2026-09-24T14:59:51+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6YJA_2BA	20260922	failed	vinardo: ATOM     26  C   UNL     1      -1.389   2.322  -0.859  1.00  0.00    +0.208 CG0			vinardo	kcal/mol (empirical score, not a measured free energy)	15.05	-11.848	35.02	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6YJA_2BA/receptor.pdbqt	0.13		5			2026-09-24T15:00:23+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6XM9_V55	20260922	ok		5	-5.4	vinardo	kcal/mol (empirical score, not a measured free energy)	15.798	23.342	41.569	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XM9_V55/receptor.pdbqt	8.82	182.3	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6XM9_V55.sdf.gz	1478	2026-09-24T15:00:21+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6YQV_8K2	20260922	ok		5	-4.8	vinardo	kcal/mol (empirical score, not a measured free energy)	2.752	-12.447	30.5	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6YQV_8K2/receptor.pdbqt	6.46	182.3	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6YQV_8K2.sdf.gz	1209	2026-09-24T15:00:30+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6YQW_82I	20260922	ok		5	-4.6	vinardo	kcal/mol (empirical score, not a measured free energy)	0.585	12.909	11.068	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6YQW_82I/receptor.pdbqt	6.88	182.3	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6YQW_82I.sdf.gz	1481	2026-09-24T15:00:36+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6XCT_478	20260922	ok		5	-6.7	vinardo	kcal/mol (empirical score, not a measured free energy)	10.744	6.507	13.239	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6XCT_478/receptor.pdbqt	174.86	182.0	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6XCT_478.sdf.gz	4829	2026-09-24T14:59:20+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6VTA_AKN	20260922	ok		5	-6.8	vinardo	kcal/mol (empirical score, not a measured free energy)	99.974	12.932	42.699	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6VTA_AKN/receptor.pdbqt	269.58	182.4	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6VTA_AKN.sdf.gz	5828	2026-09-24T14:58:33+08:00
arm	A3_genconf_detbox	vinardo	posebusters	6YRV_PJ8	20260922	ok		3	-10.6	vinardo	kcal/mol (empirical score, not a measured free energy)	23.507	51.942	20.078	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/posebusters/6YRV_PJ8/receptor.pdbqt	55.1	182.2	5	/home/qasim/vgb_bench_data/poses/A3_genconf_detbox/vinardo/posebusters/6YRV_PJ8.sdf.gz	2371	2026-09-24T15:02:15+08:00
