run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A4_crossdock	gnina	crossdock	5SAK_ZRY__into__1GVT	20260922	ok		5	-8.01	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	3.829	269.04	17.007	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/1GVT/receptor.pdbqt	44.84	450.3	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/5SAK_ZRY__into__1GVT.sdf.gz	2256	2026-09-23T19:20:58+08:00
arm	A4_crossdock	gnina	crossdock	5SB2_1K2__into__6FEX	20260922	ok		5	-10.32	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-14.867	-4.52	-13.043	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6FEX/receptor.pdbqt	91.62	461.9	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/5SB2_1K2__into__6FEX.sdf.gz	3563	2026-09-23T19:20:58+08:00
arm	A4_crossdock	gnina	crossdock	6T88_MWQ__into__6T85	20260922	ok		5	-5.61	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	21.384	64.948	-8.459	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6T85/receptor.pdbqt	26.45	461.9	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/6T88_MWQ__into__6T85.sdf.gz	1500	2026-09-23T19:22:30+08:00
arm	A4_crossdock	gnina	crossdock	6M2B_EZO__into__4OQV	20260922	ok		5	-8.48	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-3.486	-40.492	5.658	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4OQV/receptor.pdbqt	86.56	451.9	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/6M2B_EZO__into__4OQV.sdf.gz	2902	2026-09-23T19:21:43+08:00
arm	A4_crossdock	gnina	crossdock	5SIS_JSM__into__2OUR	20260922	ok		5	-6.78	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	4.882	10.99	42.578	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/2OUR/receptor.pdbqt	134.81	454.1	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/5SIS_JSM__into__2OUR.sdf.gz	4044	2026-09-23T19:20:58+08:00
arm	A4_crossdock	gnina	crossdock	5SD5_HWI__into__4KLX	20260922	ok		5	-5.5	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-10.196	-3.761	12.798	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4KLX/receptor.pdbqt	145.48	449.8	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/5SD5_HWI__into__4KLX.sdf.gz	3930	2026-09-23T19:20:58+08:00
arm	A4_crossdock	gnina	crossdock	6WTN_RXT__into__8BXH	20260922	ok		5	-8.3	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-12.393	15.145	20.294	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/8BXH/receptor.pdbqt	45.43	454.1	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/6WTN_RXT__into__8BXH.sdf.gz	2858	2026-09-23T19:23:13+08:00
arm	A4_crossdock	gnina	crossdock	6TW7_NZB__into__4C7I	20260922	ok		5	-8.91	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	8.8	36.198	54.553	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4C7I/receptor.pdbqt	88.18	461.9	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/6TW7_NZB__into__4C7I.sdf.gz	3701	2026-09-23T19:22:56+08:00
arm	A4_crossdock	gnina	crossdock	6XG5_TOP__into__9PWM	20260922	ok		5	-5.14	gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	-4.971	-8.47	-15.373	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/9PWM/receptor.pdbqt	45.57	454.1	4	/home/qasim/vgb_bench_data/poses/A4_crossdock/gnina/crossdock/6XG5_TOP__into__9PWM.sdf.gz	2812	2026-09-23T19:23:58+08:00
arm	A4_crossdock	gnina	crossdock	6YJA_2BA__into__6YJ9	20260922	failed	gnina: ATOM     26  C   UNL     1      -1.389   2.322  -0.859  1.00  0.00    +0.208 CG0			gnina_cnn:rescore:crossdock_default2018	kcal/mol (empirical score, not a measured free energy)	4.169	-10.773	15.103	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6YJ9/receptor.pdbqt	1.47		4			2026-09-23T19:24:44+08:00
