run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A4_crossdock	vina	crossdock	5SAK_ZRY__into__1GVT	20260922	ok		5	-8.364	vina	kcal/mol (empirical score, not a measured free energy)	3.829	269.04	17.007	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/1GVT/receptor.pdbqt	20.93	409.2	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/5SAK_ZRY__into__1GVT.sdf.gz	2207	2026-09-23T15:52:17+08:00
arm	A4_crossdock	vina	crossdock	6T88_MWQ__into__6T85	20260922	ok		5	-5.647	vina	kcal/mol (empirical score, not a measured free energy)	21.384	64.948	-8.459	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6T85/receptor.pdbqt	14.54	409.2	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6T88_MWQ__into__6T85.sdf.gz	1465	2026-09-23T15:52:38+08:00
arm	A4_crossdock	vina	crossdock	6M2B_EZO__into__4OQV	20260922	ok		5	-9.004	vina	kcal/mol (empirical score, not a measured free energy)	-3.486	-40.492	5.658	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4OQV/receptor.pdbqt	69.14	459.6	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6M2B_EZO__into__4OQV.sdf.gz	2871	2026-09-23T15:52:17+08:00
arm	A4_crossdock	vina	crossdock	5SB2_1K2__into__6FEX	20260922	ok		5	-10.67	vina	kcal/mol (empirical score, not a measured free energy)	-14.867	-4.52	-13.043	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6FEX/receptor.pdbqt	72.74	501.5	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/5SB2_1K2__into__6FEX.sdf.gz	3591	2026-09-23T15:52:17+08:00
arm	A4_crossdock	vina	crossdock	5SIS_JSM__into__2OUR	20260922	ok		5	-8.513	vina	kcal/mol (empirical score, not a measured free energy)	4.882	10.99	42.578	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/2OUR/receptor.pdbqt	100.37	526.9	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/5SIS_JSM__into__2OUR.sdf.gz	4000	2026-09-23T15:52:17+08:00
arm	A4_crossdock	vina	crossdock	6WTN_RXT__into__8BXH	20260922	ok		5	-8.125	vina	kcal/mol (empirical score, not a measured free energy)	-12.393	15.145	20.294	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/8BXH/receptor.pdbqt	31.53	501.5	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6WTN_RXT__into__8BXH.sdf.gz	2906	2026-09-23T15:53:30+08:00
arm	A4_crossdock	vina	crossdock	6TW7_NZB__into__4C7I	20260922	ok		5	-8.622	vina	kcal/mol (empirical score, not a measured free energy)	8.8	36.198	54.553	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4C7I/receptor.pdbqt	70.85	483.1	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6TW7_NZB__into__4C7I.sdf.gz	3701	2026-09-23T15:52:52+08:00
arm	A4_crossdock	vina	crossdock	6XM9_V55__into__6XM7	20260922	ok		5	-6.34	vina	kcal/mol (empirical score, not a measured free energy)	25.561	11.564	35.777	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6XM7/receptor.pdbqt	11.56	483.1	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6XM9_V55__into__6XM7.sdf.gz	1551	2026-09-23T15:54:03+08:00
arm	A4_crossdock	vina	crossdock	6XG5_TOP__into__9PWM	20260922	ok		5	-7.192	vina	kcal/mol (empirical score, not a measured free energy)	-4.971	-8.47	-15.373	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/9PWM/receptor.pdbqt	40.1	501.5	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6XG5_TOP__into__9PWM.sdf.gz	2716	2026-09-23T15:54:01+08:00
arm	A4_crossdock	vina	crossdock	5SD5_HWI__into__4KLX	20260922	ok		5	-6.1	vina	kcal/mol (empirical score, not a measured free energy)	-10.196	-3.761	12.798	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4KLX/receptor.pdbqt	192.66	525.2	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/5SD5_HWI__into__4KLX.sdf.gz	3846	2026-09-23T15:52:17+08:00
arm	A4_crossdock	vina	crossdock	6YQV_8K2__into__3RM2	20260922	ok		5	-5.459	vina	kcal/mol (empirical score, not a measured free energy)	15.855	-13.628	21.832	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/3RM2/receptor.pdbqt	231.03	525.2	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6YQV_8K2__into__3RM2.sdf.gz	1198	2026-09-23T15:55:29+08:00
arm	A4_crossdock	vina	crossdock	6YQW_82I__into__6BQA	20260922	ok		5	-5.318	vina	kcal/mol (empirical score, not a measured free energy)	-46.564	-28.055	2.861	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6BQA/receptor.pdbqt	4.57	525.2	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6YQW_82I__into__6BQA.sdf.gz	1487	2026-09-23T15:59:21+08:00
arm	A4_crossdock	vina	crossdock	6XCT_478__into__6XCZ	20260922	ok		5	-9.509	vina	kcal/mol (empirical score, not a measured free energy)	12.434	13.958	-11.186	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6XCZ/receptor.pdbqt	414.74	579.9	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6XCT_478__into__6XCZ.sdf.gz	4873	2026-09-23T15:53:57+08:00
arm	A4_crossdock	vina	crossdock	6YMS_OZH__into__6Y4I	20260922	ok		5	-8.645	vina	kcal/mol (empirical score, not a measured free energy)	34.751	40.667	-7.08	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6Y4I/receptor.pdbqt	429.56	591.7	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6YMS_OZH__into__6Y4I.sdf.gz	4688	2026-09-23T15:54:41+08:00
arm	A4_crossdock	vina	crossdock	6YR2_T1C__into__2XPW	20260922	ok		5	-9.493	vina	kcal/mol (empirical score, not a measured free energy)	19.78	34.905	35.38	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/2XPW/receptor.pdbqt	148.36	819.7	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6YR2_T1C__into__2XPW.sdf.gz	5553	2026-09-23T15:59:25+08:00
arm	A4_crossdock	vina	crossdock	6Z0R_Q4H__into__6YX3	20260922	ok		5	-4.47	vina	kcal/mol (empirical score, not a measured free energy)	35.536	13.116	60.966	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6YX3/receptor.pdbqt	6.89	819.7	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vina/crossdock/6Z0R_Q4H__into__6YX3.sdf.gz	1125	2026-09-23T16:01:53+08:00
