run_kind	arm	method	dataset	key	seed	status	reason	n_poses	top_score	score_function	score_units	box_center_x	box_center_y	box_center_z	box_size	exhaustiveness	conformer_source	receptor	elapsed_s	peak_rss_mb	jobs	pose_archive	pose_archive_bytes	recorded
arm	A4_crossdock	vinardo	crossdock	5SAK_ZRY__into__1GVT	20260922	ok		5	-7.7	vinardo	kcal/mol (empirical score, not a measured free energy)	3.829	269.04	17.007	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/1GVT/receptor.pdbqt	26.36	65.3	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/5SAK_ZRY__into__1GVT.sdf.gz	2237	2026-09-23T17:16:41+08:00
arm	A4_crossdock	vinardo	crossdock	6T88_MWQ__into__6T85	20260922	ok		5	-6.0	vinardo	kcal/mol (empirical score, not a measured free energy)	21.384	64.948	-8.459	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6T85/receptor.pdbqt	13.86	182.0	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/6T88_MWQ__into__6T85.sdf.gz	1490	2026-09-23T17:17:08+08:00
arm	A4_crossdock	vinardo	crossdock	6M2B_EZO__into__4OQV	20260922	ok		5	-8.8	vinardo	kcal/mol (empirical score, not a measured free energy)	-3.486	-40.492	5.658	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4OQV/receptor.pdbqt	80.5	73.1	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/6M2B_EZO__into__4OQV.sdf.gz	2804	2026-09-23T17:16:41+08:00
arm	A4_crossdock	vinardo	crossdock	5SB2_1K2__into__6FEX	20260922	ok		5	-11.1	vinardo	kcal/mol (empirical score, not a measured free energy)	-14.867	-4.52	-13.043	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6FEX/receptor.pdbqt	88.77	70.3	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/5SB2_1K2__into__6FEX.sdf.gz	3557	2026-09-23T17:16:41+08:00
arm	A4_crossdock	vinardo	crossdock	6TW7_NZB__into__4C7I	20260922	ok		5	-10.0	vinardo	kcal/mol (empirical score, not a measured free energy)	8.8	36.198	54.553	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4C7I/receptor.pdbqt	88.62	182.0	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/6TW7_NZB__into__4C7I.sdf.gz	3730	2026-09-23T17:17:21+08:00
arm	A4_crossdock	vinardo	crossdock	6WTN_RXT__into__8BXH	20260922	ok		5	-7.4	vinardo	kcal/mol (empirical score, not a measured free energy)	-12.393	15.145	20.294	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/8BXH/receptor.pdbqt	42.86	181.9	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/6WTN_RXT__into__8BXH.sdf.gz	2870	2026-09-23T17:18:10+08:00
arm	A4_crossdock	vinardo	crossdock	5SIS_JSM__into__2OUR	20260922	ok		5	-7.5	vinardo	kcal/mol (empirical score, not a measured free energy)	4.882	10.99	42.578	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/2OUR/receptor.pdbqt	135.12	77.4	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/5SIS_JSM__into__2OUR.sdf.gz	4004	2026-09-23T17:16:41+08:00
arm	A4_crossdock	vinardo	crossdock	6XM9_V55__into__6XM7	20260922	ok		5	-6.9	vinardo	kcal/mol (empirical score, not a measured free energy)	25.561	11.564	35.777	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6XM7/receptor.pdbqt	9.07	182.2	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/6XM9_V55__into__6XM7.sdf.gz	1522	2026-09-23T17:18:56+08:00
arm	A4_crossdock	vinardo	crossdock	6YJA_2BA__into__6YJ9	20260922	failed	vinardo: ATOM     26  C   UNL     1      -1.389   2.322  -0.859  1.00  0.00    +0.208 CG0			vinardo	kcal/mol (empirical score, not a measured free energy)	4.169	-10.773	15.103	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/6YJ9/receptor.pdbqt	0.1		5			2026-09-23T17:19:05+08:00
arm	A4_crossdock	vinardo	crossdock	5SD5_HWI__into__4KLX	20260922	ok		5	-5.4	vinardo	kcal/mol (empirical score, not a measured free energy)	-10.196	-3.761	12.798	25.0	8	genconf	/home/qasim/vgb_bench_data/prepared/receptors/crossdock/4KLX/receptor.pdbqt	155.17	72.9	5	/home/qasim/vgb_bench_data/poses/A4_crossdock/vinardo/crossdock/5SD5_HWI__into__4KLX.sdf.gz	3911	2026-09-23T17:16:41+08:00
