arm	method	dataset	n_with_both	n_verdict_changed	pct_verdict_changed	median_abs_difference	max_abs_difference	n_spyrmsd_disagrees_over_0p1a	median_spyrmsd_disagreement	recorded
A0_null	vina	astex	85	0	0.0	0.0089	3.9067	0	0.0	2026-09-24
A0_null	vina	posebusters	308	3	0.97	0.0146	13.7052	0	0.0	2026-09-24
A1_refconf_refbox	gnina	astex	83	2	2.41	0.0286	1.3453	0	0.0	2026-09-24
A1_refconf_refbox	gnina	posebusters	298	6	2.01	0.0	4.7999	0	0.0	2026-09-24
A1_refconf_refbox	vina	astex	78	2	2.56	0.0	2.1905	1	0.0	2026-09-24
A1_refconf_refbox	vina	posebusters	299	5	1.67	0.0	18.9668	1	0.0	2026-09-24
A1_refconf_refbox	vinardo	astex	83	5	6.02	0.0	3.044	0	0.0	2026-09-24
A1_refconf_refbox	vinardo	posebusters	294	11	3.74	0.0028	19.0141	1	0.0	2026-09-24
A2_genconf_refbox	gnina	astex	83	3	3.61	0.0599	4.2202	0	0.0	2026-09-24
A2_genconf_refbox	gnina	posebusters	298	9	3.02	0.0311	5.8284	2	0.0	2026-09-24
A2_genconf_refbox	vina	astex	78	3	3.85	0.0229	6.4621	0	0.0	2026-09-24
A2_genconf_refbox	vina	posebusters	299	14	4.68	0.0285	5.9947	2	0.0	2026-09-24
A2_genconf_refbox	vinardo	astex	83	4	4.82	0.0297	4.2489	0	0.0	2026-09-24
A2_genconf_refbox	vinardo	posebusters	294	11	3.74	0.0191	5.2587	1	0.0	2026-09-24
A4_crossdock	gnina	crossdock	199	2	1.01	0.0028	2.5218	1	0.0	2026-09-24
A4_crossdock	vina	crossdock	197	5	2.54	0.0041	17.6297	0	0.0	2026-09-24
A4_crossdock	vinardo	crossdock	197	3	1.52	0.0021	17.6953	0	0.0	2026-09-24
