arm	method	dataset	jobs	n	min	q25	median	q75	q90	max	mean	total_core_seconds	recorded
A0_null	vina	astex	10	85.0	0.01	0.02	0.02	0.03	14.91	20.19	2.02	171.4	2026-09-24
A0_null	vina	posebusters	10	308.0	0.01	0.02	0.03	0.05	0.09	29.03	0.98	301.7	2026-09-24
A1_refconf_refbox	gnina	astex	4	83.0	19.38	36.9	56.14	85.84	115.94	213.39	65.96	5474.4	2026-09-24
A1_refconf_refbox	gnina	posebusters	4	298.0	24.29	50.83	81.89	129.88	210.26	749.88	111.35	33183.6	2026-09-24
A1_refconf_refbox	vina	astex	5	78.0	10.09	26.33	48.43	78.31	124.16	400.17	63.27	4935.0	2026-09-24
A1_refconf_refbox	vina	posebusters	5	299.0	3.45	17.09	44.6	88.18	174.57	1178.25	88.17	26362.9	2026-09-24
A1_refconf_refbox	vinardo	astex	5	83.0	6.29	22.35	43.03	68.88	107.07	271.61	54.26	4503.8	2026-09-24
A1_refconf_refbox	vinardo	posebusters	5	294.0	3.16	20.1	58.84	121.47	294.76	13504.09	310.92	91411.1	2026-09-24
A2_genconf_refbox	gnina	astex	4	83.0	14.06	26.86	43.26	62.97	83.05	165.84	49.59	4116.2	2026-09-24
A2_genconf_refbox	gnina	posebusters	4	298.0	10.25	23.55	45.61	74.64	128.15	516.21	64.86	19327.8	2026-09-24
A2_genconf_refbox	vina	astex	5	78.0	6.36	18.01	34.55	50.38	83.16	238.65	43.48	3391.8	2026-09-24
A2_genconf_refbox	vinardo	astex	5	83.0	4.93	15.9	34.08	52.51	78.98	218.07	41.49	3443.4	2026-09-24
A2_genconf_refbox	vinardo	posebusters	5	294.0	3.49	14.44	38.52	76.41	138.59	1002.71	70.98	20869.2	2026-09-24
A4_crossdock	gnina	crossdock	4	199.0	13.71	31.54	71.49	125.3	193.91	818.07	96.91	19285.2	2026-09-24
A4_crossdock	vina	crossdock	5	197.0	4.57	21.62	69.14	127.09	253.92	1464.96	126.33	24887.5	2026-09-24
A4_crossdock	vinardo	crossdock	5	197.0	4.48	16.33	57.26	116.7	222.18	4089.46	186.87	36812.5	2026-09-24
